session_id,purchased_item_id
0,235
1,28
2,15
4,405
5,99
6,133
7,253
9,157
10,468
11,87
12,307
13,254
16,50
17,298
18,244
20,374
21,5
22,70
23,180
24,461
25,341
26,131
28,26
29,465
30,1
32,245
34,56
36,24
37,106
38,344
39,175
40,441
42,417
43,330
44,2
45,325
48,7
49,330
51,55
52,343
53,271
54,313
55,331
56,349
57,289
58,429
60,424
61,45
62,83
64,255
65,249
66,64
67,235
69,183
71,378
72,28
73,72
74,429
75,21
76,186
77,141
78,222
80,61
81,179
82,41
84,8
85,493
86,208
87,122
89,232
90,48
91,258
92,188
93,296
94,146
96,428
97,137
98,410
100,45
104,305
105,288
106,479
107,425
108,318
109,324
112,112
115,25
116,326
117,100
118,255
120,424
122,417
124,201
125,228
126,59
127,214
128,81
129,353
130,174
132,499
133,263
134,427
136,475
137,174
138,216
139,345
140,302
141,472
142,6
143,475
144,343
145,265
146,322
147,367
148,333
151,133
152,113
153,189
154,161
155,275
156,145
157,300
158,391
159,59
160,57
161,416
162,78
163,387
164,223
165,14
166,291
171,231
172,127
174,435
175,450
176,158
178,258
179,39
180,470
182,406
183,269
186,245
187,146
189,139
190,128
191,13
192,3
193,297
194,20
195,260
196,267
197,11
198,180
199,31
201,33
202,120
203,370
204,358
205,414
206,124
207,296
208,268
209,185
210,136
211,193
212,150
213,365
215,459
216,174
220,465
222,354
223,456
224,474
225,408
226,51
227,427
228,54
229,37
231,72
232,112
233,55
234,446
235,72
236,86
237,120
238,67
239,255
240,373
241,144
242,174
243,318
244,237
246,324
249,158
250,141
252,97
253,292
254,248
255,288
256,34
257,52
258,231
259,331
260,302
261,147
262,380
264,82
265,280
266,32
267,343
268,57
269,244
270,374
271,377
272,407
275,145
276,156
277,145
278,141
279,77
281,300
282,376
283,383
285,109
287,369
288,416
289,336
291,166
292,111
294,191
295,214
296,100
297,47
298,22
300,90
301,312
302,178
305,489
306,347
307,189
308,153
309,415
310,259
312,359
313,155
314,134
316,156
317,305
318,433
319,348
320,21
322,430
323,156
324,298
325,383
328,418
329,304
331,12
332,312
334,107
336,318
337,195
338,352
340,283
341,256
342,413
343,361
344,436
345,494
346,407
347,249
348,485
349,318
350,327
352,75
354,479
355,128
356,387
358,453
359,408
361,29
362,95
363,63
364,146
365,419
366,487
367,100
368,114
369,31
370,70
371,10
372,272
374,495
375,377
377,491
378,495
380,143
381,427
382,40
383,107
384,290
386,58
389,162
390,31
391,230
392,71
393,323
395,105
397,153
400,405
401,290
402,312
403,389
404,387
405,113
406,399
408,404
409,225
412,370
413,471
414,6
415,399
416,316
417,277
418,455
419,11
421,86
422,72
423,430
426,16
427,401
428,119
430,433
432,17
433,264
435,46
436,139
437,429
438,332
440,375
441,17
442,420
443,211
444,43
445,354
446,32
448,226
449,486
451,387
452,67
453,231
454,203
456,78
458,490
459,45
460,93
462,195
463,453
464,296
466,292
467,220
469,310
470,421
471,126
472,485
474,54
475,354
477,91
478,495
480,47
481,286
482,152
484,354
485,19
486,284
488,30
489,161
490,135
491,338
492,389
493,338
494,473
495,109
496,176
497,422
498,29
500,258
501,355
502,147
503,310
504,136
505,53
506,249
507,224
508,404
509,203
510,268
512,338
513,328
514,372
515,370
516,232
517,341
519,117
520,490
521,75
522,394
523,359
524,433
525,431
526,269
527,392
528,191
529,90
531,120
532,463
534,224
536,136
537,285
539,400
540,284
541,433
544,461
545,39
546,442
547,405
548,466
549,73
550,257
551,345
552,490
555,298
556,493
557,421
559,144
560,73
561,14
562,182
564,395
565,59
567,406
569,473
570,193
571,342
572,341
574,350
575,187
576,412
577,381
579,451
580,97
581,373
582,258
583,34
584,126
585,339
587,121
588,80
589,451
591,338
593,150
594,492
595,214
596,54
597,175
598,140
599,274
600,21
601,380
602,359
603,479
604,359
606,229
607,461
609,403
610,30
612,395
614,136
615,384
616,408
617,123
618,439
619,441
620,311
622,162
623,262
625,229
626,264
627,415
628,132
629,314
630,45
631,315
632,3
634,7
635,206
636,281
638,10
639,160
640,331
641,125
642,336
643,192
644,188
645,341
646,326
648,463
649,192
650,423
651,207
652,494
654,121
655,387
656,27
658,489
659,193
660,377
661,432
662,215
663,306
664,260
665,133
666,345
667,370
669,11
670,487
671,330
672,15
674,192
675,17
677,272
678,267
679,415
680,28
681,44
682,433
684,448
685,366
686,363
687,267
688,428
689,93
690,103
691,263
692,188
693,497
694,23
695,289
697,210
698,209
699,22
700,144
701,113
702,296
703,131
705,396
706,370
707,16
709,122
710,136
711,470
712,115
713,394
715,211
716,105
717,298
718,116
719,76
721,184
722,470
723,434
725,9
726,480
727,102
728,200
729,134
730,21
731,299
733,177
734,456
737,63
738,178
739,313
740,494
742,153
743,163
745,27
746,12
748,126
750,349
751,91
752,388
753,199
754,479
755,343
756,492
757,224
758,157
759,69
760,400
761,173
762,363
765,179
766,30
767,165
768,338
769,41
770,215
771,277
773,351
774,59
775,447
776,408
777,244
778,199
779,427
780,436
781,73
782,390
783,36
784,326
785,19
786,429
787,340
788,373
789,119
790,153
791,490
792,305
793,344
796,382
797,493
798,406
799,181
800,255
801,165
802,165
803,49
804,7
806,123
807,388
808,146
809,475
810,493
813,228
814,388
815,329
816,159
818,337
819,202
820,58
821,110
822,145
823,205
824,380
825,100
826,0
827,216
829,188
830,210
831,433
832,2
834,156
835,409
837,16
838,0
840,131
841,224
842,264
843,179
844,17
845,340
846,263
847,404
848,394
849,16
851,71
852,397
853,114
854,120
855,468
857,448
858,212
859,113
860,404
861,182
863,207
864,132
865,340
866,253
867,486
869,127
870,240
871,63
873,466
874,414
876,411
877,405
878,455
879,37
880,132
881,427
882,180
883,66
885,428
886,128
887,311
888,323
889,175
890,395
891,240
892,383
893,195
894,34
896,66
897,224
898,165
899,126
901,265
904,377
905,277
906,465
909,45
910,20
911,204
912,303
913,431
915,382
916,292
917,198
918,0
919,45
920,132
922,132
923,86
924,277
926,280
928,443
929,461
931,31
933,388
934,133
935,245
936,216
938,477
939,144
940,475
941,124
942,203
943,265
945,382
946,410
947,415
948,204
949,326
950,384
951,401
952,334
953,130
954,93
955,331
956,250
957,275
958,177
959,250
960,375
961,497
962,362
963,363
964,58
965,89
966,215
968,389
969,478
971,293
972,330
973,43
974,126
975,147
976,364
980,236
981,494
982,19
983,451
984,292
985,488
986,214
987,491
988,17
989,133
990,74
991,432
992,259
994,25
995,119
996,162
997,59
998,122
999,411
1000,262
1001,32
1003,376
1004,252
1005,27
1007,27
1008,320
1009,427
1012,16
1013,321
1014,5
1015,460
1016,35
1017,15
1019,133
1020,131
1021,465
1023,499
1025,109
1027,499
1028,102
1029,202
1030,50
1031,359
1032,305
1033,256
1036,241
1037,48
1038,296
1040,404
1041,311
1044,276
1045,208
1046,414
1048,394
1049,226
1050,385
1051,12
1052,75
1054,470
1055,22
1057,469
1058,170
1059,136
1060,417
1062,175
1063,306
1064,498
1065,13
1066,398
1067,225
1069,327
1070,408
1071,463
1072,458
1073,492
1074,181
1075,482
1076,323
1077,198
1079,465
1080,305
1081,26
1082,93
1084,189
1088,15
1089,209
1090,252
1091,172
1092,28
1093,398
1094,367
1095,172
1096,233
1098,42
1099,54
1100,100
1101,387
1102,185
1103,109
1104,38
1105,390
1106,265
1108,128
1109,86
1110,245
1112,120
1113,337
1115,355
1116,34
1117,166
1118,131
1119,172
1120,409
1122,0
1124,479
1125,93
1126,278
1127,490
1128,79
1129,492
1130,239
1131,312
1132,358
1133,363
1134,249
1135,306
1136,362
1137,265
1138,3
1140,485
1141,33
1143,37
1144,229
1145,165
1146,359
1147,275
1148,450
1149,26
1150,332
1151,169
1152,123
1154,360
1155,20
1156,312
1158,234
1159,465
1160,353
1161,244
1162,300
1163,119
1164,275
1165,170
1167,424
1168,374
1169,1
1170,456
1171,32
1172,323
1173,119
1174,378
1176,247
1177,354
1179,14
1180,159
1181,317
1184,428
1185,34
1186,131
1187,285
1188,250
1189,244
1191,396
1192,233
1193,340
1194,103
1195,109
1196,483
1198,437
1200,469
1201,26
1202,417
1203,342
1204,356
1205,45
1206,301
1207,470
1209,456
1210,324
1211,6
1212,223
1214,472
1215,264
1216,311
1218,384
1219,266
1220,26
1221,186
1222,125
1223,359
1224,411
1227,103
1228,202
1229,23
1230,35
1231,200
1232,463
1233,479
1234,8
1235,109
1238,203
1239,30
1240,160
1241,197
1242,30
1243,441
1244,319
1245,346
1246,143
1248,371
1249,336
1250,210
1251,26
1252,19
1255,455
1256,412
1257,285
1258,369
1259,401
1260,299
1262,315
1263,497
1264,376
1265,43
1266,450
1267,493
1268,10
1269,456
1271,388
1272,8
1273,246
1274,276
1275,104
1276,189
1277,200
1278,210
1279,272
1280,444
1281,416
1283,467
1284,82
1285,377
1286,261
1287,46
1288,352
1289,30
1290,143
1291,369
1292,487
1293,360
1294,229
1295,212
1296,43
1298,58
1299,169
1300,399
1301,6
1302,324
1303,336
1304,31
1305,92
1306,163
1307,207
1308,270
1309,267
1311,239
1312,264
1313,77
1314,49
1316,249
1317,230
1318,442
1319,275
1321,331
1322,234
1324,448
1325,264
1329,306
1330,230
1331,134
1332,486
1333,326
1334,69
1335,345
1336,96
1337,248
1338,402
1339,339
1340,107
1341,135
1342,238
1343,210
1344,177
1345,141
1348,132
1349,159
1352,20
1353,22
1354,64
1356,375
1357,402
1359,496
1360,319
1361,59
1362,300
1363,143
1364,259
1365,100
1366,208
1367,210
1369,166
1371,88
1374,47
1375,244
1376,41
1377,7
1378,178
1379,490
1380,300
1381,9
1382,23
1384,340
1386,202
1387,145
1388,140
1389,447
1390,186
1391,330
1392,493
1394,18
1395,345
1396,27
1397,112
1399,385
1400,49
1401,75
1403,289
1404,310
1405,319
1406,407
1407,63
1409,345
1410,437
1412,115
1415,11
1416,364
1417,41
1419,372
1420,304
1421,16
1422,237
1423,342
1424,138
1425,215
1426,192
1428,224
1429,424
1431,222
1432,102
1434,47
1435,424
1436,436
1437,388
1438,444
1439,353
1440,77
1441,234
1442,335
1443,409
1444,406
1445,442
1446,470
1447,423
1448,133
1449,82
1452,45
1455,24
1456,283
1458,16
1459,205
1460,467
1461,429
1462,467
1463,357
1464,143
1465,344
1466,319
1467,342
1468,327
1469,367
1471,390
1472,345
1473,402
1474,188
1476,413
1477,68
1478,275
1479,74
1480,266
1481,326
1484,206
1485,311
1486,85
1487,56
1490,333
1492,321
1494,226
1495,235
1497,18
1499,205
1500,95
1501,146
1502,132
1503,428
1504,203
1505,486
1506,272
1507,208
1509,317
1510,441
1513,402
1514,109
1515,59
1517,98
1518,326
1519,149
1521,289
1523,305
1524,441
1525,335
1526,394
1527,26
1528,125
1529,11
1531,228
1532,298
1535,204
1536,20
1537,409
1538,361
1539,49
1540,142
1541,275
1542,49
1543,257
1544,224
1545,330
1546,346
1548,282
1549,312
1550,9
1551,298
1552,419
1553,317
1554,24
1555,122
1556,375
1557,328
1558,114
1559,72
1560,318
1561,233
1563,128
1564,495
1565,68
1567,159
1568,134
1569,494
1570,390
1571,368
1572,479
1573,37
1574,361
1576,214
1577,345
1578,24
1581,290
1582,99
1584,449
1585,397
1587,100
1588,25
1589,91
1590,468
1591,458
1592,17
1594,128
1596,470
1597,184
1600,442
1601,49
1603,139
1604,266
1605,350
1607,67
1608,181
1609,312
1610,408
1612,288
1613,67
1614,156
1615,271
1616,15
1618,415
1619,69
1620,362
1622,173
1625,335
1627,487
1628,377
1629,239
1630,85
1631,439
1633,192
1635,143
1636,325
1637,493
1638,405
1639,389
1640,97
1641,26
1642,294
1643,333
1644,267
1645,232
1646,169
1647,404
1648,122
1649,408
1651,305
1652,151
1653,59
1654,34
1656,10
1657,355
1658,231
1660,145
1661,182
1663,271
1664,489
1666,331
1667,364
1668,111
1669,9
1670,472
1671,83
1672,65
1673,221
1674,182
1675,275
1676,429
1677,160
1678,45
1679,450
1680,34
1681,480
1682,477
1685,248
1686,413
1687,29
1689,50
1690,306
1691,394
1692,290
1693,491
1694,67
1695,497
1696,345
1698,40
1699,254
1700,139
1702,246
1704,44
1706,26
1707,480
1708,268
1709,212
1710,459
1711,478
1712,75
1715,354
1716,453
1717,31
1718,244
1719,373
1721,88
1724,263
1725,326
1726,286
1727,473
1728,264
1729,423
1732,220
1733,264
1734,193
1735,199
1736,266
1737,330
1738,99
1741,489
1742,186
1745,35
1746,45
1749,322
1750,240
1751,51
1752,392
1753,55
1754,82
1755,304
1756,36
1757,321
1758,107
1759,174
1760,239
1761,92
1762,191
1763,393
1764,382
1765,359
1767,166
1770,188
1771,46
1772,119
1773,201
1774,226
1775,150
1776,496
1777,131
1778,257
1779,456
1780,2
1781,170
1782,433
1784,367
1785,306
1787,215
1788,20
1789,67
1790,484
1792,437
1793,236
1794,90
1796,88
1797,39
1798,438
1800,345
1801,304
1802,349
1804,178
1805,412
1806,330
1808,48
1809,300
1810,37
1811,69
1812,70
1813,226
1814,480
1815,417
1816,466
1817,170
1818,397
1819,398
1820,359
1821,468
1822,260
1823,410
1824,314
1825,274
1826,295
1827,120
1828,50
1829,347
1830,6
1831,186
1832,471
1833,45
1834,364
1835,274
1836,168
1837,369
1838,37
1839,221
1840,312
1841,383
1842,376
1843,160
1845,41
1846,361
1847,404
1848,212
1849,263
1850,48
1851,103
1852,282
1853,198
1854,300
1855,433
1856,121
1857,186
1859,80
1860,214
1861,267
1862,418
1863,5
1864,267
1865,182
1866,85
1867,42
1868,390
1870,191
1871,327
1872,141
1873,492
1874,175
1875,294
1876,453
1877,459
1878,282
1879,132
1881,277
1882,382
1883,70
1884,188
1885,324
1886,492
1887,411
1888,53
1890,208
1891,264
1892,199
1893,87
1894,268
1895,251
1896,75
1897,466
1898,62
1899,285
1900,446
1901,469
1902,169
1903,415
1905,124
1906,258
1907,51
1908,314
1909,378
1910,357
1912,311
1913,53
1914,214
1915,388
1916,200
1917,426
1918,437
1919,204
1920,406
1922,363
1924,89
1925,474
1926,493
1927,216
1928,322
1929,362
1930,33
1931,74
1932,82
1933,63
1934,325
1936,466
1937,2
1938,123
1939,312
1940,221
1941,481
1942,181
1946,138
1947,258
1948,368
1949,445
1950,418
1951,293
1952,30
1955,200
1956,348
1958,243
1959,58
1960,172
1961,99
1963,182
1966,456
1967,186
1968,28
1969,142
1970,247
1971,143
1972,245
1973,411
1974,170
1975,277
1976,102
1977,269
1979,254
1980,98
1981,185
1982,66
1985,62
1986,88
1987,394
1988,34
1990,170
1991,188
1992,136
1993,148
1994,190
1995,267
1996,157
1997,181
1998,375
1999,202
2000,186
2001,445
2003,435
2004,235
2005,344
2006,364
2007,234
2008,29
2010,4
2011,115
2013,0
2014,148
2015,347
2016,350
2017,308
2018,39
2022,188
2023,362
2024,330
2026,429
2027,373
2028,2
2030,374
2031,452
2032,46
2033,347
2035,320
2037,37
2038,476
2040,359
2041,250
2042,18
2043,55
2044,251
2045,264
2047,109
2048,472
2049,8
2050,265
2051,106
2052,172
2053,493
2056,110
2057,82
2059,280
2060,226
2061,195
2062,128
2063,281
2064,169
2065,295
2066,253
2068,320
2070,138
2071,228
2072,489
2073,175
2074,497
2076,237
2077,373
2078,134
2079,39
2080,297
2082,32
2083,486
2084,339
2086,19
2089,151
2090,338
2092,219
2093,363
2094,488
2096,404
2097,399
2098,117
2100,422
2101,234
2102,356
2103,395
2104,453
2105,365
2106,105
2107,3
2108,53
2110,193
2111,481
2113,415
2114,257
2115,88
2116,249
2118,144
2120,308
2121,397
2123,321
2125,13
2127,343
2129,138
2130,495
2131,406
2132,164
2134,181
2135,352
2136,128
2137,24
2138,415
2139,430
2141,376
2142,322
2143,398
2146,321
2147,206
2148,390
2149,444
