user_id,uf_1,uf_2,uf_3,uf_4,uf_5,uf_6,uf_7,uf_8
0,CAT_12,CAT_14,CAT_01,PT_Z,PT_Y,0.953,-0.625,1.247
1,CAT_04,CAT_15,CAT_02,PT_Z,PT_V,-2.022,-0.468,1.513
2,CAT_15,CAT_13,CAT_04,PT_W,PT_X,-1.402,-1.244,2.091
3,CAT_15,CAT_12,CAT_00,PT_W,PT_W,-0.934,0.749,0.519
4,CAT_16,CAT_14,CAT_00,PT_V,PT_X,-0.513,-0.993,-0.223
5,CAT_15,CAT_17,CAT_03,PT_Z,PT_V,-2.778,0.442,0.735
7,CAT_16,CAT_03,CAT_02,PT_Z,PT_V,-0.24,-2.101,0.977
8,CAT_17,CAT_07,CAT_16,PT_W,PT_Y,-0.619,0.452,-1.451
9,CAT_08,CAT_01,CAT_05,PT_Z,PT_V,0.713,1.485,0.236
10,CAT_03,CAT_05,CAT_17,PT_V,PT_V,1.029,-1.175,-0.563
11,CAT_05,CAT_12,CAT_15,PT_W,PT_V,-0.204,0.84,-0.385
12,CAT_14,CAT_15,CAT_13,PT_Z,PT_X,0.524,-0.968,0.002
13,CAT_10,CAT_01,CAT_18,PT_V,PT_V,-0.707,-1.959,-1.023
14,CAT_12,CAT_14,CAT_16,PT_W,PT_V,-0.786,0.135,0.325
15,CAT_05,CAT_13,CAT_11,PT_V,PT_V,-0.98,-1.481,1.765
17,CAT_14,CAT_16,CAT_07,PT_V,PT_Y,0.828,-0.336,0.169
18,CAT_13,CAT_15,CAT_14,PT_W,PT_V,-1.502,-0.253,-0.399
19,CAT_08,CAT_00,CAT_16,PT_Z,PT_Y,1.413,0.843,1.658
20,CAT_12,CAT_09,CAT_02,PT_W,PT_X,-1.163,0.773,-0.02
22,CAT_08,CAT_11,CAT_02,PT_V,PT_X,0.282,0.521,0.364
23,CAT_16,CAT_12,CAT_00,PT_V,PT_Y,-2.223,-2.07,-0.689
24,CAT_17,CAT_06,CAT_19,PT_Z,PT_Y,-0.309,2.457,1.682
25,CAT_17,CAT_06,CAT_10,PT_V,PT_X,1.476,-0.283,-2.159
26,CAT_01,CAT_15,CAT_14,PT_V,PT_V,1.152,-2.344,0.85
27,CAT_12,CAT_18,CAT_01,PT_Z,PT_V,-0.604,1.131,-0.27
28,CAT_11,CAT_18,CAT_09,PT_V,PT_V,0.901,1.232,-0.891
29,CAT_18,CAT_07,CAT_11,PT_Z,PT_W,-0.264,-0.671,-2.643
30,CAT_13,CAT_02,CAT_07,PT_V,PT_X,-0.065,1.094,-0.849
31,CAT_04,CAT_13,CAT_09,PT_V,PT_Y,-0.286,-0.319,-1.679
32,CAT_08,CAT_02,CAT_05,PT_V,PT_V,1.446,-1.222,2.266
34,CAT_02,CAT_18,CAT_05,PT_W,PT_Y,-0.692,0.142,0.845
35,CAT_00,CAT_01,CAT_17,PT_V,PT_Y,-2.048,2.036,-0.195
36,CAT_14,CAT_08,CAT_11,PT_Z,PT_Y,0.656,1.546,0.806
37,CAT_14,CAT_18,CAT_04,PT_V,PT_Y,0.855,-0.123,0.116
39,CAT_17,CAT_03,CAT_10,PT_W,PT_W,-0.961,0.787,0.406
40,CAT_08,CAT_03,CAT_11,PT_V,PT_Y,1.208,-3.134,-0.226
41,CAT_04,CAT_06,CAT_13,PT_Z,PT_Z,0.959,1.541,0.562
42,CAT_19,CAT_07,CAT_13,PT_Z,PT_W,1.835,-0.192,-0.143
43,CAT_16,CAT_10,CAT_07,PT_W,PT_X,-0.566,0.032,0.212
44,CAT_17,CAT_07,CAT_01,PT_V,PT_X,-2.159,1.86,0.207
45,CAT_18,CAT_04,CAT_06,PT_V,PT_X,0.692,-0.873,-0.616
46,CAT_03,CAT_19,CAT_10,PT_V,PT_X,-2.056,-0.139,-0.09
47,CAT_06,CAT_02,CAT_13,PT_Z,PT_W,0.442,-1.366,-0.388
48,CAT_09,CAT_03,CAT_16,PT_W,PT_V,-1.142,1.411,-0.809
49,CAT_14,CAT_02,CAT_04,PT_Z,PT_X,1.091,0.619,0.993
51,CAT_04,CAT_12,CAT_11,PT_V,PT_V,0.707,0.188,1.616
52,CAT_09,CAT_10,CAT_07,PT_V,PT_Y,-1.448,1.248,0.156
53,CAT_04,CAT_19,CAT_15,PT_V,PT_V,-1.635,0.011,-0.311
54,CAT_15,CAT_17,CAT_08,PT_V,PT_X,1.302,0.47,0.003
55,CAT_03,CAT_07,CAT_01,PT_Z,PT_Y,-0.374,1.044,-0.248
57,CAT_15,CAT_18,CAT_09,PT_Z,PT_V,-0.852,-0.163,-1.281
58,CAT_04,CAT_02,CAT_08,PT_V,PT_Y,2.459,0.461,-0.055
59,CAT_17,CAT_11,CAT_01,PT_Z,PT_X,0.399,2.24,-0.053
60,CAT_03,CAT_06,CAT_00,PT_W,PT_Y,-0.432,-0.045,1.179
61,CAT_12,CAT_15,CAT_06,PT_W,PT_V,-1.126,-0.692,0.351
62,CAT_18,CAT_04,CAT_16,PT_Z,PT_X,-1.122,-0.651,0.591
63,CAT_00,CAT_13,CAT_04,PT_W,PT_Y,1.541,0.215,-0.504
64,CAT_04,CAT_12,CAT_08,PT_Z,PT_V,0.688,1.544,-0.319
65,CAT_08,CAT_16,CAT_02,PT_Z,PT_X,1.204,-0.179,-1.436
66,CAT_03,CAT_15,CAT_01,PT_Z,PT_X,-1.062,1.914,1.617
67,CAT_03,CAT_13,CAT_19,PT_Z,PT_W,-1.506,-1.217,-0.627
68,CAT_02,CAT_00,CAT_07,PT_V,PT_Y,1.255,1.825,1.439
70,CAT_13,CAT_04,CAT_00,PT_W,PT_V,0.383,0.536,-1.148
71,CAT_05,CAT_01,CAT_08,PT_W,PT_V,1.147,0.48,0.316
72,CAT_11,CAT_17,CAT_07,PT_Z,PT_W,-0.708,0.595,0.428
73,CAT_10,CAT_08,CAT_19,PT_W,PT_Y,0.105,0.027,0.245
74,CAT_19,CAT_00,CAT_10,PT_W,PT_V,0.822,0.11,-1.034
75,CAT_19,CAT_18,CAT_14,PT_Z,PT_Y,0.931,0.689,-1.569
76,CAT_12,CAT_06,CAT_17,PT_W,PT_W,-0.464,-0.989,1.017
77,CAT_06,CAT_07,CAT_10,PT_W,PT_Y,0.607,-0.19,-2.181
79,CAT_04,CAT_05,CAT_17,PT_Z,PT_Y,-1.769,2.49,0.138
80,CAT_15,CAT_13,CAT_02,PT_Z,PT_Y,-0.171,-0.479,0.618
82,CAT_19,CAT_02,CAT_15,PT_V,PT_Y,0.345,0.301,0.423
84,CAT_12,CAT_02,CAT_16,PT_V,PT_X,-0.173,0.64,1.595
85,CAT_03,CAT_18,CAT_00,PT_W,PT_Y,0.497,0.895,-4.266
86,CAT_14,CAT_17,CAT_06,PT_V,PT_V,-0.12,2.24,-0.122
87,CAT_06,CAT_11,CAT_13,PT_W,PT_V,-0.316,0.968,1.525
88,CAT_16,CAT_11,CAT_03,PT_V,PT_X,-1.103,0.856,1.686
89,CAT_02,CAT_12,CAT_19,PT_Z,PT_Y,1.93,-0.102,0.148
90,CAT_01,CAT_06,CAT_03,PT_V,PT_Y,1.807,-0.235,-0.18
91,CAT_14,CAT_05,CAT_00,PT_Z,PT_W,-0.665,-1.832,-0.913
92,CAT_17,CAT_09,CAT_16,PT_Z,PT_V,-0.24,-1.195,-1.079
93,CAT_05,CAT_07,CAT_14,PT_V,PT_Y,-0.104,-0.208,-2.497
94,CAT_05,CAT_14,CAT_12,PT_V,PT_X,-0.781,-0.695,0.053
95,CAT_19,CAT_01,CAT_07,PT_Z,PT_Z,-0.733,2.375,-1.035
96,CAT_13,CAT_11,CAT_00,PT_Z,PT_X,-0.508,1.543,-1.722
97,CAT_17,CAT_02,CAT_07,PT_W,PT_W,-0.097,0.731,2.413
98,CAT_14,CAT_04,CAT_05,PT_W,PT_W,-0.064,0.923,1.099
100,CAT_15,CAT_02,CAT_13,PT_W,PT_X,0.845,0.594,0.901
101,CAT_06,CAT_14,CAT_08,PT_Z,PT_Z,-0.544,0.131,0.637
102,CAT_17,CAT_04,CAT_05,PT_Z,PT_Y,-0.048,0.989,2.775
103,CAT_05,CAT_02,CAT_03,PT_W,PT_V,-1.308,-0.309,-1.006
104,CAT_00,CAT_17,CAT_05,PT_Z,PT_W,-1.263,0.249,1.235
105,CAT_19,CAT_01,CAT_06,PT_Z,PT_Z,-0.943,-1.089,0.494
106,CAT_02,CAT_07,CAT_00,PT_W,PT_W,-0.701,0.229,-1.07
107,CAT_10,CAT_17,CAT_03,PT_Z,PT_W,-0.502,-1.579,-2.352
108,CAT_02,CAT_17,CAT_19,PT_W,PT_X,-1.339,0.376,0.903
109,CAT_14,CAT_16,CAT_13,PT_W,PT_V,0.578,-1.073,0.241
110,CAT_08,CAT_18,CAT_06,PT_W,PT_W,0.782,1.283,1.313
111,CAT_12,CAT_15,CAT_06,PT_V,PT_V,0.223,0.19,-3.03
112,CAT_15,CAT_12,CAT_02,PT_V,PT_V,-0.048,0.637,0.974
113,CAT_09,CAT_11,CAT_01,PT_V,PT_X,-0.939,0.357,-0.218
114,CAT_08,CAT_14,CAT_11,PT_Z,PT_W,0.664,0.77,1.668
115,CAT_07,CAT_18,CAT_05,PT_V,PT_V,1.198,0.965,0.231
