session_id,purchased_item_id
0,235
1,261
2,64
3,124
4,340
5,368
6,61
7,214
8,382
9,32
10,157
11,274
12,384
13,196
14,474
15,90
16,85
17,350
18,291
19,244
20,204
21,426
22,482
23,339
24,112
25,234
26,85
27,131
28,31
29,193
30,26
31,223
32,397
33,308
34,197
35,59
36,491
37,123
38,177
39,42
40,394
41,456
42,38
43,208
44,403
45,474
46,406
47,2
48,354
49,163
50,120
51,239
52,231
53,421
54,424
55,194
56,127
57,404
58,428
59,305
60,336
61,429
62,208
63,15
64,244
65,131
66,87
67,75
68,299
69,198
70,368
71,182
72,213
73,237
74,155
75,470
76,455
77,383
78,366
79,166
80,176
81,451
82,199
83,45
84,253
85,360
86,127
87,2
88,174
89,431
90,366
91,14
92,45
93,255
94,332
95,88
96,302
97,313
98,459
99,331
100,428
101,365
102,466
103,298
104,436
105,418
106,251
107,183
108,125
109,146
110,127
111,153
112,51
113,71
114,481
115,349
116,91
117,321
118,384
119,183
120,440
121,29
122,284
123,47
124,224
125,459
126,372
127,130
128,266
129,275
130,326
131,441
132,48
133,455
134,413
135,273
136,468
137,114
138,477
139,220
140,377
141,77
142,146
143,236
144,453
145,446
146,91
147,364
148,333
149,317
150,339
151,484
152,334
153,201
154,451
155,351
156,311
157,11
158,100
159,457
160,116
161,143
162,319
163,27
164,98
165,129
166,121
167,273
168,351
169,355
170,83
171,429
172,231
173,114
174,200
175,131
176,354
177,342
178,59
179,162
180,31
181,91
182,361
183,436
184,282
185,259
186,428
187,490
188,295
189,439
190,237
191,94
192,10
193,168
194,388
195,15
196,337
197,473
198,64
199,116
200,347
201,150
202,461
203,230
204,446
205,288
206,298
207,181
208,390
209,126
210,51
211,219
212,9
213,32
214,325
215,163
216,16
217,26
218,322
219,470
220,367
221,336
222,344
223,340
224,323
225,127
226,400
227,15
228,21
229,114
230,402
231,451
232,255
233,309
234,41
235,108
236,443
237,244
238,421
239,242
240,192
241,339
242,106
243,29
244,237
245,69
246,491
247,429
248,8
249,286
250,59
251,295
252,226
253,25
254,342
255,182
256,93
257,15
258,50
259,498
260,85
261,34
262,228
263,102
264,391
265,423
266,285
267,110
268,368
269,110
270,21
271,111
272,334
273,191
274,172
275,383
276,125
277,329
278,100
279,276
280,386
281,106
282,377
283,416
284,305
285,318
286,460
287,63
288,433
289,393
290,180
291,376
292,45
293,153
294,70
295,71
296,37
297,466
298,324
299,317
300,376
301,447
302,348
303,60
304,225
305,240
306,320
307,329
308,401
309,437
310,346
311,182
312,31
313,201
314,13
315,421
316,178
317,359
318,74
319,456
320,178
321,17
322,43
323,236
324,123
325,103
326,382
327,120
328,171
329,180
330,146
331,389
332,428
333,279
334,314
335,52
336,86
337,343
338,53
339,186
340,233
341,343
342,165
343,453
344,477
345,104
346,360
347,62
348,65
349,308
350,74
351,113
352,383
353,361
354,259
355,224
356,494
357,62
358,271
359,456
360,46
361,384
362,289
363,231
364,282
365,80
366,126
367,380
368,172
369,277
370,313
371,194
372,93
373,257
374,132
375,295
376,206
377,416
378,359
379,271
380,42
381,315
382,315
383,421
384,88
385,433
386,445
387,264
388,349
389,110
390,18
391,288
392,165
393,421
394,398
395,480
396,274
397,194
398,259
399,420
400,40
401,493
402,299
403,330
404,300
405,153
406,160
407,191
408,374
409,443
410,136
411,278
412,41
413,265
414,292
415,474
416,68
417,82
418,45
419,394
420,154
421,29
422,230
423,210
424,129
425,312
426,183
427,274
428,310
429,480
430,267
431,495
432,6
433,399
434,26
435,7
436,331
437,334
438,142
439,453
440,147
441,353
442,123
443,189
444,461
445,418
446,265
447,350
448,70
449,446
450,135
451,456
452,136
453,121
454,134
455,439
456,326
457,498
458,330
459,110
460,46
461,249
462,77
463,468
464,334
465,39
466,413
467,120
468,492
469,233
470,49
471,170
472,289
473,244
474,165
475,263
476,4
477,147
478,234
479,310
480,204
481,192
482,131
483,224
484,180
485,410
486,421
487,221
488,158
489,253
490,420
491,313
492,197
493,246
494,241
495,68
496,45
497,213
498,410
499,467
500,41
501,54
502,192
503,430
504,437
505,332
506,94
507,319
508,147
509,181
510,402
511,68
512,62
513,43
514,133
515,381
516,264
517,417
518,333
519,322
520,474
521,332
522,225
523,310
524,410
525,159
526,143
527,130
528,254
529,206
530,274
531,62
532,139
533,72
534,433
535,207
536,472
537,182
538,178
539,310
540,403
541,345
542,151
543,297
544,8
545,68
546,243
547,145
548,76
549,324
550,204
551,418
552,123
553,433
554,388
555,465
556,262
557,262
558,366
559,95
560,397
561,32
562,185
563,357
564,232
565,322
566,79
567,446
568,418
569,372
570,90
571,321
572,391
573,158
574,395
575,400
576,261
577,230
578,64
579,171
580,8
581,318
582,234
583,498
584,235
585,99
586,101
587,145
588,374
589,167
590,466
591,331
592,430
593,443
594,113
595,393
596,447
597,275
598,404
599,128
600,157
601,376
602,300
603,218
604,92
605,215
606,242
607,60
608,215
609,198
610,237
611,495
612,405
613,467
614,365
615,491
616,395
617,186
618,453
619,208
620,131
621,474
622,348
623,473
624,362
625,380
626,327
627,144
628,346
629,87
630,282
631,31
632,39
633,98
634,3
635,469
636,322
637,173
638,451
639,467
640,158
641,155
642,441
643,311
644,403
645,259
646,480
647,303
648,413
649,179
650,455
651,236
652,248
653,256
654,390
655,393
656,149
657,310
658,79
659,247
660,433
661,493
662,386
663,207
664,219
665,460
666,355
667,176
668,466
669,83
670,405
671,23
672,498
673,281
674,461
675,144
676,248
677,55
678,442
679,143
680,416
681,479
682,474
683,45
684,177
685,496
686,133
687,119
688,310
689,276
690,398
691,404
692,227
693,120
694,336
695,395
696,284
697,256
698,443
699,64
700,17
701,96
702,347
703,457
704,398
705,366
706,324
707,97
708,392
709,279
710,167
711,359
712,388
713,284
714,377
715,126
716,468
717,19
718,337
719,436
720,289
721,333
722,47
723,69
724,148
725,109
726,71
727,346
728,222
729,233
730,187
731,164
732,139
733,496
734,137
735,80
736,308
737,250
738,368
739,157
740,293
741,116
742,250
743,69
744,459
745,451
746,69
747,423
748,145
749,8
750,77
751,204
752,71
753,360
754,271
755,252
756,436
757,403
758,388
759,387
760,421
761,126
