user_id,pref_cat_1,pref_cat_2,pref_cat_3,budget_low,budget_high,pref_1,pref_2,pref_3
0,17,5,19,1,4,0.642,-0.241,0.557
1,2,13,15,1,3,-1.802,0.073,1.464
2,13,12,2,2,5,-1.075,-0.611,1.79
3,13,17,1,2,2,-0.933,0.584,0.479
4,11,5,1,3,5,-0.445,-0.907,0.044
5,13,3,0,1,3,-2.597,0.29,1.632
6,17,18,7,2,4,-1.333,1.087,-1.0
7,11,0,15,1,3,-0.622,-2.207,1.287
8,3,4,11,2,4,-0.654,0.189,-1.131
9,14,19,10,1,3,0.122,1.513,0.436
10,0,10,3,3,3,1.486,-0.7,-1.261
11,10,17,13,2,3,-0.127,0.417,-1.347
12,5,13,12,1,5,0.811,-0.732,-0.085
13,6,19,8,3,3,0.04,-1.585,-0.837
14,17,5,11,2,3,-0.753,0.206,0.796
15,10,12,18,3,3,-0.931,-1.116,1.578
16,19,5,9,3,5,0.462,0.272,0.63
17,5,11,4,3,4,0.576,-0.474,0.268
18,12,13,5,2,3,-1.092,-0.392,0.553
19,14,1,11,1,4,0.671,1.202,1.39
20,17,16,15,2,5,-1.651,0.968,-0.414
21,0,7,9,1,3,0.029,0.13,0.815
22,14,18,15,3,5,0.373,0.322,0.293
23,11,17,1,3,4,-1.839,-2.9,-0.869
24,3,7,9,1,4,-0.16,1.985,1.711
25,3,7,6,3,5,1.041,-0.741,-1.843
26,19,13,5,3,3,0.398,-1.789,0.444
27,17,8,19,1,3,-1.221,0.825,-0.109
28,18,8,16,3,3,1.097,1.253,-0.297
29,8,4,18,1,2,0.184,-0.451,-1.823
30,12,15,4,3,5,-0.121,1.027,-1.353
31,2,12,16,3,4,0.421,-0.697,-1.926
32,14,15,10,3,3,1.317,-1.422,2.231
33,11,2,17,2,3,1.478,1.829,-0.371
34,15,8,10,2,4,-0.506,-0.155,1.057
35,1,19,3,3,4,-1.41,2.291,0.235
36,5,14,18,1,4,0.451,1.459,0.979
37,5,8,2,3,4,1.068,-0.002,0.964
38,5,1,12,3,4,-0.252,-1.659,-0.395
39,3,0,6,2,2,0.188,0.481,0.53
40,14,0,18,3,4,1.219,-2.718,-0.47
41,2,7,12,1,1,0.25,0.763,0.578
42,9,4,12,1,2,1.17,0.536,-0.461
43,11,6,4,2,5,-0.383,0.271,-0.328
44,3,4,19,3,5,-1.918,1.712,-0.216
45,8,2,7,3,5,0.504,-1.107,-0.804
46,0,9,6,3,5,-1.657,-0.099,-0.095
47,7,15,12,1,2,0.321,-1.343,0.004
48,16,0,11,2,3,-1.448,1.247,-1.105
49,5,15,2,1,5,0.6,0.711,0.321
50,1,19,12,3,4,-0.815,-0.852,-1.341
51,2,17,18,3,3,0.788,-0.148,0.849
52,16,6,4,3,4,-1.097,0.899,0.766
53,2,9,13,3,3,-1.304,0.397,0.151
54,13,3,14,3,5,1.393,0.502,-0.339
55,0,4,19,1,4,-0.521,1.164,-0.354
56,8,5,11,1,3,-0.054,-0.498,0.73
57,13,8,16,1,3,-0.531,-0.307,-1.275
58,2,15,14,3,4,1.862,0.676,0.292
59,3,18,19,1,5,0.507,1.978,0.032
60,0,7,1,2,4,-0.423,0.383,1.792
61,17,13,7,2,3,-0.827,-1.38,0.802
62,8,2,11,1,5,-0.152,-0.292,0.202
63,1,12,2,2,4,1.187,0.127,-0.853
64,2,17,14,1,3,0.393,1.227,-0.464
65,14,11,15,1,5,1.317,0.049,-0.748
66,0,13,19,1,5,-1.089,1.573,1.76
67,0,12,9,1,2,-1.712,-0.725,-0.137
68,15,1,4,3,4,1.88,1.244,0.968
69,11,14,2,3,3,-0.729,-1.423,-0.049
70,12,2,1,2,3,0.065,0.775,-0.714
71,10,19,14,2,3,1.649,0.6,0.304
72,18,3,4,1,2,-0.825,0.271,0.684
73,6,14,9,2,4,0.648,0.261,-0.348
74,9,1,6,2,3,0.635,0.41,-0.74
75,9,8,5,1,4,0.945,0.778,-1.009
76,17,7,3,2,2,0.182,-0.518,1.878
77,7,4,6,2,4,0.141,-0.918,-2.169
78,2,18,8,1,1,0.664,-0.012,-1.107
79,2,10,3,1,4,-1.445,2.157,0.71
80,13,12,15,1,4,-0.251,-0.563,0.142
81,8,14,4,1,5,0.628,-0.55,-0.511
82,9,15,13,3,4,0.751,0.303,0.434
83,16,7,17,1,4,0.506,0.188,-0.924
84,17,15,11,3,5,-0.345,0.715,1.33
85,0,8,1,2,4,0.22,0.418,-3.937
86,5,3,7,3,3,-0.191,1.831,0.294
87,7,18,12,2,3,-0.169,0.6,1.198
88,11,18,0,3,5,-0.772,1.04,1.527
89,15,17,9,1,4,1.896,0.33,0.08
90,19,7,0,3,4,2.236,0.01,0.159
91,5,10,1,1,2,0.504,-1.91,-1.156
92,3,16,11,1,3,-0.415,-1.413,-0.777
93,10,4,5,3,4,-0.466,0.661,-2.456
94,10,5,17,3,5,0.164,-0.692,-0.526
95,9,19,4,1,1,-0.329,2.312,-0.771
96,12,18,1,1,5,-0.756,1.654,-1.093
97,3,15,4,2,2,-0.92,0.214,2.834
98,5,2,10,2,2,-0.072,0.754,0.701
99,3,0,1,2,5,0.318,-0.288,-2.621
100,13,15,12,2,5,0.918,0.68,0.953
101,7,5,14,1,1,-1.094,-0.244,0.841
102,3,2,10,1,4,0.21,0.335,2.581
103,10,15,0,2,3,-0.988,-0.834,-0.666
104,1,3,10,1,2,-1.07,0.686,1.113
105,9,19,7,1,1,-0.562,-0.988,0.787
106,15,4,1,2,2,-0.75,0.367,-0.711
107,6,3,0,1,2,-1.152,-1.775,-2.097
108,15,3,9,2,5,-1.468,0.101,1.053
109,5,11,12,2,3,0.679,-0.737,0.261
110,14,8,7,2,2,0.899,1.256,1.219
111,17,13,7,3,3,0.848,0.998,-1.555
112,13,17,15,3,3,-0.401,0.06,1.297
113,16,18,19,3,5,-0.908,0.562,-0.061
114,14,5,18,1,2,0.736,0.748,1.066
115,4,8,10,3,3,-0.079,1.089,0.663
116,17,10,8,3,4,0.137,-0.078,-0.408
117,13,3,19,1,2,-1.267,-1.208,-0.537
118,3,19,18,2,4,0.564,-0.544,-0.734
119,15,1,5,2,5,-1.077,0.847,1.076
120,12,1,19,2,3,1.082,0.346,-0.112
121,10,9,18,2,5,0.959,0.956,-1.182
122,7,4,9,3,4,0.132,-0.87,-0.181
123,2,6,14,1,4,-1.351,-0.096,-1.685
124,11,1,16,1,1,-0.445,1.102,1.285
125,18,0,5,1,2,1.47,0.394,-0.647
126,14,1,11,3,3,-0.28,1.841,-1.42
127,3,0,7,2,5,-0.046,-0.519,-0.348
128,15,18,17,2,4,1.097,1.815,-0.01
129,9,0,12,1,2,-1.528,1.056,-1.383
130,6,7,18,3,3,-0.123,1.019,1.727
131,0,15,4,3,3,0.219,-0.105,-0.077
132,8,9,19,2,5,0.66,-0.89,0.168
133,16,12,3,1,5,0.831,2.606,-0.009
134,11,17,9,2,2,-0.899,0.104,-0.147
135,8,19,9,1,2,0.875,-0.737,-0.08
136,1,12,10,3,3,-0.262,-1.436,0.775
137,13,12,18,3,3,-0.012,-2.809,-1.615
138,6,10,7,3,5,-0.734,-0.868,0.878
139,9,5,17,1,3,-0.343,0.428,0.301
140,8,17,5,3,4,-0.401,-0.585,0.338
141,13,10,11,2,4,1.997,-0.488,0.113
142,1,18,2,2,3,-2.011,-0.006,-0.62
143,1,4,18,1,3,0.57,-1.093,0.701
144,14,4,10,3,3,0.209,-1.137,-0.424
145,1,0,14,2,3,-0.458,0.043,-0.606
146,5,15,2,1,5,-0.969,0.429,-1.028
147,0,1,17,1,3,0.491,2.007,-0.651
148,16,6,0,3,3,-0.529,-0.541,-0.319
149,4,3,12,3,5,-0.862,-0.127,0.345
150,1,9,18,2,4,-1.393,0.617,2.224
151,15,11,6,1,4,2.484,0.708,0.085
152,4,6,0,3,5,0.466,0.834,-0.161
153,8,17,1,3,3,-0.224,-0.765,-1.239
154,0,1,3,2,5,-0.919,0.86,-0.569
155,0,9,13,3,3,0.092,-0.415,-0.676
156,19,4,13,1,5,-0.098,-0.491,0.358
157,6,19,8,3,3,0.311,-0.644,0.8
158,5,1,17,2,3,-0.433,-1.06,0.016
159,2,3,15,1,1,0.159,0.073,-0.388
160,3,8,7,2,4,-0.028,0.319,0.787
161,9,11,10,2,2,-1.878,1.394,0.947
162,1,0,4,3,5,0.451,0.826,-1.289
