hero_id,atk,def,spd,hp,mp,rng,flux,resonance,volatility
0,0.375,0.879,0.397,1.0,0.265,0.165,0.058,0.866,0.601
1,0.813,0.221,0.514,0.261,0.108,0.843,0.291,0.612,0.139
2,0.064,0.288,0.72,0.566,0.91,0.386,0.592,0.046,0.608
3,0.71,0.342,0.994,0.205,0.247,0.276,0.495,0.034,0.909
4,0.623,0.217,0.431,0.206,0.601,0.83,0.97,0.775,0.939
5,0.333,1.0,0.149,0.713,0.416,0.119,0.357,0.281,0.543
6,0.949,0.242,0.498,0.492,0.655,0.84,0.771,0.074,0.358
7,0.05,0.665,0.473,0.538,1.0,0.465,0.638,0.887,0.472
8,0.854,0.103,1.0,0.531,0.395,0.535,0.523,0.428,0.025
9,0.287,0.556,0.536,0.503,0.72,0.576,0.756,0.229,0.077
10,0.179,0.825,0.437,0.999,0.221,0.277,0.893,0.539,0.807
11,0.854,0.401,0.562,0.345,0.691,0.656,0.861,0.007,0.511
12,0.05,0.437,0.449,0.48,0.876,0.661,0.519,0.703,0.364
13,0.797,0.05,0.789,0.151,0.415,0.235,0.503,0.051,0.279
14,0.471,0.445,0.395,0.325,0.971,0.913,0.238,0.728,0.368
15,0.511,1.0,0.168,0.962,0.226,0.338,0.187,0.041,0.591
16,0.667,0.31,0.441,0.471,0.362,0.932,0.937,0.138,0.341
17,0.146,0.583,0.657,0.679,1.0,0.981,0.242,0.093,0.897
18,0.839,0.317,0.764,0.102,0.478,0.345,0.887,0.78,0.642
19,0.534,0.527,0.426,0.317,0.957,0.999,0.224,0.712,0.237
20,0.474,0.777,0.445,1.0,0.423,0.485,0.094,0.368,0.265
21,1.0,0.264,0.781,0.481,0.91,0.714,0.493,0.195,0.722
22,0.05,0.572,0.466,0.707,0.971,0.589,0.964,0.853,0.294
23,0.957,0.149,0.811,0.223,0.507,0.314,0.696,0.57,0.097
24,0.509,0.229,0.454,0.584,0.962,0.958,0.359,0.294,0.809
25,0.346,0.939,0.304,1.0,0.516,0.201,0.65,0.702,0.796
26,0.853,0.414,0.484,0.364,0.427,0.712,0.466,0.543,0.287
27,0.138,0.512,0.366,0.55,1.0,0.619,0.216,0.623,0.085
28,0.807,0.102,1.0,0.395,0.096,0.328,0.795,0.271,0.439
29,0.384,0.649,0.35,0.452,0.848,0.558,0.715,0.66,0.28
30,0.618,1.0,0.072,0.877,0.49,0.094,0.014,0.116,0.046
31,0.864,0.581,0.597,0.26,0.306,0.684,0.434,0.399,0.616
32,0.134,0.52,0.716,0.385,1.0,0.602,0.659,0.163,0.071
33,0.77,0.209,1.0,0.319,0.115,0.492,0.643,0.458,0.546
34,0.477,0.488,0.442,0.407,0.769,0.726,0.845,0.023,0.814
35,0.207,0.847,0.443,1.0,0.354,0.287,0.803,0.282,0.177
36,1.0,0.392,0.597,0.418,0.692,0.611,0.341,0.931,0.858
37,0.433,0.434,0.439,0.639,0.902,0.74,0.826,0.32,0.896
38,0.849,0.18,0.965,0.389,0.277,0.614,0.293,0.329,0.673
39,0.616,0.5,0.295,0.499,0.486,1.0,0.888,0.351,0.117
40,0.362,0.815,0.177,0.987,0.337,0.124,0.073,0.822,0.706
41,1.0,0.228,0.5,0.604,0.194,0.936,0.906,0.111,0.493
42,0.197,0.457,0.548,0.476,0.978,0.83,0.962,0.375,0.286
43,0.749,0.269,0.96,0.448,0.471,0.308,0.523,0.629,0.696
44,0.823,0.285,0.531,0.528,1.0,0.679,0.277,0.188,0.464
45,0.455,0.628,0.05,1.0,0.386,0.346,0.163,0.911,0.823
46,0.702,0.575,0.777,0.33,0.243,0.903,0.97,0.842,0.838
47,0.05,0.365,0.484,0.592,0.939,0.645,1.0,0.997,0.555
48,0.732,0.293,0.79,0.279,0.418,0.377,0.229,0.672,0.618
49,0.376,0.354,0.436,0.807,0.817,1.0,0.852,0.552,0.561
50,0.263,1.0,0.397,1.0,0.155,0.303,0.136,0.015,0.351
51,0.64,0.517,0.733,0.379,0.53,0.374,0.784,0.397,0.622
52,0.05,0.492,0.558,0.595,0.59,0.587,0.633,0.24,0.076
53,0.635,0.273,1.0,0.256,0.708,0.252,0.172,0.192,0.041
54,0.42,0.281,0.384,0.345,0.717,0.62,0.503,0.69,0.039
55,0.377,1.0,0.428,0.857,0.19,0.287,0.209,0.37,0.485
56,0.673,0.505,0.847,0.363,0.586,0.747,0.512,0.532,0.107
57,0.429,0.131,0.378,0.464,0.872,0.593,0.322,0.211,0.327
58,1.0,0.332,0.949,0.522,0.412,0.171,0.587,0.745,0.432
59,0.442,0.3,0.609,0.304,0.513,0.941,0.987,0.606,0.237
60,0.202,0.827,0.211,0.82,0.307,0.075,0.41,0.982,0.112
61,0.959,0.287,0.636,0.441,0.391,0.62,0.669,0.929,0.557
62,0.05,0.582,0.401,0.686,0.786,0.329,0.508,0.242,0.115
63,0.571,0.32,0.779,0.34,0.818,0.058,0.052,0.337,0.134
64,0.651,0.313,0.525,0.331,0.879,1.0,0.472,0.412,0.349
65,0.325,0.913,0.373,1.0,0.282,0.217,0.795,0.202,0.164
66,0.959,0.237,0.643,0.711,0.631,0.651,0.392,0.817,0.439
67,0.099,0.165,0.658,0.473,0.663,0.602,0.9,0.384,0.544
68,0.835,0.316,0.728,0.472,0.451,0.238,0.62,0.533,0.894
69,0.427,0.461,0.236,0.377,1.0,0.86,0.877,0.342,0.821
70,0.26,0.753,0.233,1.0,0.414,0.062,0.72,0.641,0.694
71,0.655,0.342,0.441,0.323,0.526,0.825,0.401,0.462,0.947
72,0.242,0.331,0.867,0.619,0.916,0.709,0.697,0.922,0.707
73,0.838,0.05,0.749,0.583,0.428,0.315,0.926,0.451,0.113
74,0.508,0.564,0.146,0.729,0.776,0.736,0.803,0.005,0.333
75,0.428,0.552,0.266,1.0,0.491,0.077,0.452,0.225,0.452
76,0.863,0.259,0.195,0.392,0.465,0.804,0.581,0.632,0.013
77,0.05,0.578,0.38,0.575,0.9,0.624,0.595,0.067,0.75
78,0.83,0.178,0.864,0.218,0.395,0.218,0.565,0.066,0.776
79,0.708,0.05,0.088,0.314,0.623,0.831,0.182,0.862,0.946
80,0.089,0.783,0.133,1.0,0.44,0.391,0.027,0.222,0.231
81,0.915,0.28,0.675,0.242,0.447,0.666,0.243,0.722,0.856
82,0.146,0.674,0.338,0.692,0.989,0.554,0.013,0.086,0.208
83,0.55,0.465,0.764,0.178,0.597,0.05,0.268,0.624,0.409
84,0.188,0.654,0.432,0.485,0.718,0.86,0.868,0.487,0.895
85,0.25,1.0,0.623,1.0,0.207,0.137,0.835,0.984,0.526
86,0.819,0.183,0.629,0.253,0.561,0.445,0.651,0.83,0.206
87,0.443,0.736,0.349,0.677,0.876,0.721,0.383,0.519,0.047
88,0.878,0.091,0.978,0.187,0.308,0.089,0.289,0.356,0.719
89,0.586,0.137,0.712,0.454,0.814,0.827,0.215,0.031,0.262
90,0.214,0.918,0.684,0.936,0.472,0.095,0.107,0.075,0.728
91,1.0,0.293,0.366,0.34,0.575,0.78,0.695,0.272,0.59
92,0.091,0.463,0.489,0.693,0.927,0.4,0.873,0.732,0.807
93,0.993,0.359,0.882,0.395,0.171,0.291,0.988,0.944,0.039
94,0.564,0.431,0.441,0.308,0.638,0.958,0.924,0.971,0.944
95,0.469,0.888,0.23,1.0,0.089,0.275,0.121,0.077,0.696
96,1.0,0.166,0.572,0.334,0.717,0.729,0.319,0.626,0.886
97,0.05,0.588,0.607,0.607,1.0,0.497,0.402,0.48,0.628
98,0.733,0.418,1.0,0.222,0.337,0.258,0.355,0.287,0.296
99,0.21,0.219,0.239,0.602,0.775,0.676,0.879,0.945,0.467
100,0.132,0.957,0.325,1.0,0.343,0.568,0.231,0.177,0.22
101,0.983,0.207,0.526,0.375,0.444,0.524,0.758,0.696,0.154
102,0.117,0.595,0.53,0.373,1.0,0.869,0.091,0.877,0.266
103,0.882,0.363,0.822,0.316,0.138,0.111,0.26,0.723,0.496
104,0.422,0.434,0.398,0.678,1.0,0.72,0.825,0.348,0.678
105,0.054,0.969,0.336,0.996,0.44,0.263,0.867,0.708,0.837
106,1.0,0.475,0.807,0.497,0.475,0.722,0.335,0.744,0.161
107,0.263,0.56,0.466,0.601,1.0,0.377,0.981,0.632,0.26
108,0.897,0.524,0.904,0.333,0.437,0.537,0.963,0.342,0.633
109,0.526,0.461,0.372,0.439,0.746,0.826,0.582,0.346,0.621
110,0.216,0.957,0.535,0.94,0.217,0.482,0.274,0.997,0.426
111,0.716,0.273,0.697,0.548,0.668,0.897,0.273,0.951,0.151
112,0.298,0.485,0.777,0.439,0.671,0.496,0.984,0.409,0.894
113,0.693,0.1,0.961,0.266,0.543,0.249,0.473,0.968,0.186
114,0.551,0.469,0.485,0.567,0.896,0.999,0.131,0.033,0.921
115,0.487,0.974,0.145,0.943,0.356,0.086,0.43,0.201,0.492
116,0.919,0.198,0.726,0.302,0.433,0.417,0.012,0.072,0.392
117,0.571,0.426,0.654,0.436,0.956,0.672,0.04,0.481,0.105
118,0.799,0.05,1.0,0.432,0.367,0.304,0.326,0.518,0.088
119,0.46,0.387,0.373,0.39,0.829,0.641,0.689,0.801,0.2
