situation_id,map_id,pick_turn,picking_team,team_a_pick_1,team_a_pick_2,team_a_pick_3,team_a_pick_4,team_a_pick_5,team_b_pick_1,team_b_pick_2,team_b_pick_3,team_b_pick_4,team_b_pick_5,best_pick
37979,6,8,A,107,29,101,53,-1,83,89,37,13,-1,25
9911,2,6,B,111,47,49,-1,-1,26,54,118,-1,-1,40
43386,9,1,B,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
13822,8,7,A,19,108,84,-1,-1,119,16,10,39,-1,51
44810,12,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111
18495,6,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
25555,9,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72
13316,4,2,B,97,-1,-1,-1,-1,17,-1,-1,-1,-1,69
12929,8,9,B,19,80,82,78,0,119,56,112,38,-1,10
28374,3,9,B,94,35,113,89,60,84,108,5,51,-1,27
43684,0,8,A,100,19,68,119,-1,21,45,109,32,-1,16
26716,2,5,B,11,45,21,-1,-1,101,4,-1,-1,-1,68
1570,1,2,B,108,-1,-1,-1,-1,38,-1,-1,-1,-1,64
40273,6,8,A,108,51,100,102,-1,38,111,64,89,-1,54
10855,1,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108
8718,0,8,A,100,48,24,97,-1,76,0,117,90,-1,46
21247,1,2,B,108,-1,-1,-1,-1,38,-1,-1,-1,-1,60
30423,12,5,B,38,20,73,-1,-1,50,77,-1,-1,-1,94
19495,5,1,B,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
7615,2,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36
17515,6,1,B,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,63
30443,8,7,A,19,108,84,-1,-1,119,16,110,86,-1,100
30602,1,3,A,58,-1,-1,-1,-1,11,108,-1,-1,-1,87
1388,11,5,B,58,4,75,-1,-1,114,36,-1,-1,-1,72
37633,9,6,B,97,80,31,-1,-1,118,40,89,-1,-1,113
21716,1,3,A,58,-1,-1,-1,-1,63,114,-1,-1,-1,54
33138,13,8,A,69,87,113,89,-1,84,108,100,51,-1,60
10852,6,4,A,108,32,-1,-1,-1,38,111,-1,-1,-1,84
21964,3,6,B,44,61,37,-1,-1,59,106,0,-1,-1,2
9354,5,7,A,100,19,68,-1,-1,21,45,109,32,-1,119
25946,12,1,B,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,26
24780,1,1,B,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,36
41447,2,5,B,36,95,49,-1,-1,4,26,-1,-1,-1,117
27245,11,1,B,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,63
43592,1,3,A,33,-1,-1,-1,-1,108,11,-1,-1,-1,9
29814,7,9,B,111,47,49,95,48,26,54,118,40,-1,117
29041,6,1,B,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,38
11275,14,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
14006,10,4,A,0,94,-1,-1,-1,95,49,-1,-1,-1,117
11899,8,8,A,19,108,84,80,-1,119,16,88,38,-1,82
6807,9,6,B,97,108,84,-1,-1,17,69,113,-1,-1,60
40409,9,8,A,72,55,8,105,-1,93,18,36,37,-1,109
19536,12,2,B,111,-1,-1,-1,-1,26,-1,-1,-1,-1,54
15837,2,7,A,86,73,20,-1,-1,52,25,101,4,-1,96
