situation_id,map_id,pick_turn,picking_team,team_a_pick_1,team_a_pick_2,team_a_pick_3,team_a_pick_4,team_a_pick_5,team_b_pick_1,team_b_pick_2,team_b_pick_3,team_b_pick_4,team_b_pick_5,best_pick
0,1,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83
1,1,2,B,83,-1,-1,-1,-1,108,-1,-1,-1,-1,84
2,1,4,A,83,110,-1,-1,-1,108,84,-1,-1,-1,86
3,1,7,A,83,110,86,-1,-1,108,84,51,100,-1,89
4,1,8,A,83,110,86,89,-1,108,84,51,100,-1,13
5,4,2,B,72,-1,-1,-1,-1,17,-1,-1,-1,-1,113
6,4,3,A,72,-1,-1,-1,-1,17,113,-1,-1,-1,55
7,4,4,A,72,55,-1,-1,-1,17,113,-1,-1,-1,8
8,4,5,B,72,55,8,-1,-1,17,113,-1,-1,-1,89
9,4,7,A,72,55,8,-1,-1,17,113,89,60,-1,51
10,4,3,A,72,-1,-1,-1,-1,17,69,-1,-1,-1,55
11,4,4,A,72,55,-1,-1,-1,17,69,-1,-1,-1,8
12,4,5,B,72,55,8,-1,-1,17,69,-1,-1,-1,113
13,4,8,A,72,55,8,56,-1,17,69,113,89,-1,105
14,4,9,B,72,55,8,56,105,17,69,113,89,-1,60
15,13,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69
16,13,2,B,69,-1,-1,-1,-1,59,-1,-1,-1,-1,106
17,13,5,B,69,87,113,-1,-1,59,106,-1,-1,-1,0
18,13,6,B,69,87,113,-1,-1,59,106,0,-1,-1,28
19,13,7,A,69,87,113,-1,-1,59,106,0,28,-1,95
20,1,1,B,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,38
21,1,2,B,108,-1,-1,-1,-1,38,-1,-1,-1,-1,111
22,1,5,B,108,51,0,-1,-1,38,111,-1,-1,-1,64
23,1,6,B,108,51,0,-1,-1,38,111,64,-1,-1,89
24,1,7,A,108,51,0,-1,-1,38,111,64,89,-1,54
25,7,1,B,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
26,7,2,B,36,-1,-1,-1,-1,4,-1,-1,-1,-1,1
27,7,4,A,36,72,-1,-1,-1,4,1,-1,-1,-1,74
28,7,8,A,36,72,74,20,-1,4,1,2,28,-1,48
29,7,9,B,36,72,74,20,48,4,1,2,28,-1,16
30,14,2,B,72,-1,-1,-1,-1,93,-1,-1,-1,-1,17
31,14,3,A,72,-1,-1,-1,-1,93,17,-1,-1,-1,55
32,14,4,A,72,55,-1,-1,-1,93,17,-1,-1,-1,8
33,14,7,A,72,55,8,-1,-1,93,17,36,89,-1,109
34,14,9,B,72,55,8,109,105,93,17,36,89,-1,113
35,3,2,B,119,-1,-1,-1,-1,84,-1,-1,-1,-1,108
36,3,5,B,119,110,86,-1,-1,84,108,-1,-1,-1,100
37,3,6,B,119,110,86,-1,-1,84,108,100,-1,-1,77
38,3,7,A,119,110,86,-1,-1,84,108,100,77,-1,73
39,3,8,A,119,110,86,73,-1,84,108,100,77,-1,97
40,7,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61
41,7,3,A,61,-1,-1,-1,-1,51,4,-1,-1,-1,49
42,7,4,A,61,49,-1,-1,-1,51,4,-1,-1,-1,23
43,7,5,B,61,49,23,-1,-1,51,4,-1,-1,-1,25
44,7,7,A,61,49,23,-1,-1,51,4,25,52,-1,70
45,7,2,B,111,-1,-1,-1,-1,26,-1,-1,-1,-1,54
46,7,6,B,111,47,49,-1,-1,26,54,118,-1,-1,117
47,7,7,A,111,47,49,-1,-1,26,54,118,117,-1,73
48,7,8,A,111,47,49,73,-1,26,54,118,117,-1,95
49,7,9,B,111,47,49,73,95,26,54,118,117,-1,40
50,14,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97
51,14,1,B,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
52,14,6,B,97,108,84,-1,-1,17,69,113,-1,-1,10
53,14,7,A,97,108,84,-1,-1,17,69,113,10,-1,5
54,14,8,A,97,108,84,5,-1,17,69,113,10,-1,51
55,10,2,B,75,-1,-1,-1,-1,95,-1,-1,-1,-1,87
56,10,3,A,75,-1,-1,-1,-1,95,87,-1,-1,-1,51
57,10,5,B,75,51,77,-1,-1,95,87,-1,-1,-1,49
58,10,7,A,75,51,77,-1,-1,95,87,49,73,-1,65
59,10,9,B,75,51,77,65,18,95,87,49,73,-1,21
60,0,1,B,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,76
61,0,3,A,100,-1,-1,-1,-1,76,0,-1,-1,-1,48
62,0,4,A,100,48,-1,-1,-1,76,0,-1,-1,-1,24
63,0,6,B,100,48,24,-1,-1,76,0,19,-1,-1,80
64,0,8,A,100,48,24,95,-1,76,0,19,80,-1,97
65,13,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69
66,13,4,A,69,113,-1,-1,-1,84,108,-1,-1,-1,87
67,13,6,B,69,113,87,-1,-1,84,108,51,-1,-1,100
68,13,8,A,69,113,87,89,-1,84,108,51,100,-1,60
69,13,9,B,69,113,87,89,60,84,108,51,100,-1,27
70,2,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
71,2,2,B,11,-1,-1,-1,-1,101,-1,-1,-1,-1,4
72,2,4,A,11,45,-1,-1,-1,101,4,-1,-1,-1,21
73,2,5,B,11,45,21,-1,-1,101,4,-1,-1,-1,68
74,2,6,B,11,45,21,-1,-1,101,4,68,-1,-1,115
75,7,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111
76,7,5,B,111,47,49,-1,-1,26,54,-1,-1,-1,118
77,7,6,B,111,47,49,-1,-1,26,54,118,-1,-1,40
78,7,7,A,111,47,49,-1,-1,26,54,118,40,-1,95
79,7,9,B,111,47,49,95,48,26,54,118,40,-1,117
80,6,0,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
81,6,1,B,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,35
82,6,2,B,58,-1,-1,-1,-1,35,-1,-1,-1,-1,112
83,6,7,A,58,75,52,-1,-1,35,112,98,46,-1,4
84,6,8,A,58,75,52,4,-1,35,112,98,46,-1,25
85,5,1,B,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
86,5,2,B,0,-1,-1,-1,-1,20,-1,-1,-1,-1,23
87,5,4,A,0,94,-1,-1,-1,20,23,-1,-1,-1,93
88,5,7,A,0,94,93,-1,-1,20,23,70,22,-1,90
89,5,9,B,0,94,93,90,117,20,23,70,22,-1,59
90,8,4,A,44,13,-1,-1,-1,59,106,-1,-1,-1,89
91,8,5,B,44,13,89,-1,-1,59,106,-1,-1,-1,0
92,8,6,B,44,13,89,-1,-1,59,106,0,-1,-1,2
93,8,8,A,44,13,89,60,-1,59,106,0,2,-1,37
94,8,9,B,44,13,89,60,37,59,106,0,2,-1,54
95,3,1,B,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,119
96,3,3,A,19,-1,-1,-1,-1,119,16,-1,-1,-1,108
97,3,5,B,19,108,84,-1,-1,119,16,-1,-1,-1,37
98,3,7,A,19,108,84,-1,-1,119,16,37,38,-1,80
99,3,9,B,19,108,84,80,82,119,16,37,38,-1,10
100,9,1,B,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,93
