id,input_tokens,output
0,C_00 C_01 C_02,0-8-3
1,C_00 C_01 C_03,1-3-3
2,C_00 C_01 C_04,0-3-4
3,C_00 C_01 C_05,0-8-4
4,C_00 C_01 C_06,1-3-1
5,C_00 C_01 C_07,1-3-4
6,C_00 C_01 C_08,1-5-0
7,C_00 C_01 C_09,0-3-0
8,C_00 C_01 C_10,0-3-1
9,C_00 C_01 C_11,0-5-0
10,C_00 C_01 C_12,1-3-1
11,C_00 C_01 C_13,0-6-3
12,C_00 C_01 C_14,1-9-0
13,C_00 C_01 C_15,0-3-3
14,C_00 C_01 C_16,0-4-3
15,C_00 C_01 C_17,0-3-1
16,C_00 C_01 C_18,1-7-0
17,C_00 C_01 C_19,0-5-0
18,C_00 C_01 C_20,0-4-3
19,C_00 C_01 C_21,0-8-4
20,C_00 C_01 C_22,0-7-1
21,C_00 C_01 C_23,1-8-4
22,C_00 C_01 C_24,1-3-4
23,C_00 C_01 C_25,0-5-1
24,C_00 C_01 C_26,1-3-4
25,C_00 C_01 C_27,1-3-1
26,C_00 C_01 C_28,1-7-4
27,C_00 C_01 C_29,1-3-4
28,C_00 C_02 C_03,1-8-2
29,C_00 C_02 C_04,0-8-3
30,C_00 C_02 C_05,0-8-3
31,C_00 C_02 C_06,1-8-0
32,C_00 C_02 C_07,1-8-3
33,C_00 C_02 C_08,1-8-4
34,C_00 C_02 C_09,0-8-4
35,C_00 C_02 C_10,0-8-0
36,C_00 C_02 C_11,0-8-4
37,C_00 C_02 C_12,1-8-0
38,C_00 C_02 C_13,0-8-2
39,C_00 C_02 C_14,1-9-4
40,C_00 C_02 C_15,0-8-2
41,C_00 C_02 C_16,0-8-2
42,C_00 C_02 C_17,0-8-0
43,C_00 C_02 C_18,1-8-4
44,C_00 C_02 C_19,0-8-4
45,C_00 C_02 C_20,0-8-2
46,C_00 C_02 C_21,0-8-3
47,C_00 C_02 C_22,0-8-0
48,C_00 C_02 C_23,1-8-3
49,C_00 C_02 C_24,1-8-3
50,C_00 C_02 C_25,0-8-0
51,C_00 C_02 C_26,1-8-3
52,C_00 C_02 C_27,1-8-0
53,C_00 C_02 C_28,1-8-3
54,C_00 C_02 C_29,1-8-3
55,C_00 C_03 C_04,1-3-3
56,C_00 C_03 C_05,1-8-3
57,C_00 C_03 C_06,0-3-0
58,C_00 C_03 C_07,0-0-3
59,C_00 C_03 C_08,0-5-4
60,C_00 C_03 C_09,1-3-4
61,C_00 C_03 C_10,1-1-0
62,C_00 C_03 C_11,1-5-4
63,C_00 C_03 C_12,0-0-0
64,C_00 C_03 C_13,1-6-2
65,C_00 C_03 C_14,0-9-4
66,C_00 C_03 C_15,1-1-2
67,C_00 C_03 C_16,1-4-2
68,C_00 C_03 C_17,1-1-0
69,C_00 C_03 C_18,0-7-4
70,C_00 C_03 C_19,1-5-4
71,C_00 C_03 C_20,1-4-2
72,C_00 C_03 C_21,1-8-3
73,C_00 C_03 C_22,1-7-0
74,C_00 C_03 C_23,0-8-3
75,C_00 C_03 C_24,0-0-3
76,C_00 C_03 C_25,1-5-0
77,C_00 C_03 C_26,0-1-3
78,C_00 C_03 C_27,0-3-0
79,C_00 C_03 C_28,0-7-3
80,C_00 C_03 C_29,0-2-3
81,C_00 C_04 C_05,0-8-4
82,C_00 C_04 C_06,1-3-1
83,C_00 C_04 C_07,1-3-4
