image_id,prop_0,prop_1,prop_2,prop_3,prop_4
8090,1,3,2,2,0
8347,0,1,2,1,0
7462,3,2,2,2,1
6886,3,3,0,1,0
4733,2,5,2,0,0
3331,3,0,1,1,0
9006,2,0,2,1,1
8635,5,1,0,2,0
6404,4,2,2,1,0
8346,5,0,2,0,1
9464,3,2,1,2,1
7060,1,3,2,2,1
2096,4,4,0,0,1
2003,4,2,2,1,1
8804,1,4,1,1,1
9732,5,4,2,2,0
4676,2,0,2,2,0
5017,1,3,0,0,1
7469,0,0,1,2,0
546,0,0,2,2,0
1449,3,4,0,2,0
3986,3,0,2,1,0
6900,0,1,2,0,0
2610,5,1,2,1,0
1900,5,5,2,0,0
3920,3,5,1,0,0
2757,5,2,2,2,1
6124,3,3,2,0,0
6397,0,5,2,2,0
1885,0,0,2,2,0
9823,1,2,1,2,0
5738,1,5,1,2,1
8667,3,0,1,1,1
5890,5,5,1,0,0
2097,4,2,2,0,1
9289,5,1,1,0,0
5692,5,3,2,0,0
499,0,2,2,2,1
5624,4,2,1,0,0
836,1,5,1,2,0
3471,0,5,0,1,0
4697,5,4,1,2,0
6280,5,2,2,0,1
8883,4,2,0,1,0
2171,4,4,2,0,0
9231,4,0,0,0,0
5678,5,1,0,2,0
9184,0,2,0,2,0
398,0,2,2,1,0
2010,2,3,0,1,1
5166,4,2,0,1,1
5871,2,2,2,1,1
9792,0,5,1,0,0
1283,4,0,1,1,1
8390,5,0,0,1,0
2448,5,1,2,1,0
4256,5,4,1,0,0
1836,5,1,0,2,0
9596,3,2,1,1,0
1019,0,2,1,2,1
5066,0,0,0,1,1
1326,5,5,0,0,0
8752,3,2,1,0,0
475,4,1,1,1,1
2810,2,3,0,0,1
8632,0,0,0,0,1
1651,3,4,1,0,0
9611,3,2,0,2,1
1169,2,3,2,0,0
2528,2,4,2,1,0
1206,0,1,2,2,1
6256,5,4,1,2,1
7926,0,4,0,2,0
5469,1,2,0,1,1
9383,0,1,0,1,1
431,5,1,2,0,0
7700,1,2,0,2,1
867,1,3,1,1,1
2974,1,5,1,0,0
5236,1,3,1,0,0
5093,3,2,2,2,1
5433,3,0,0,1,0
541,0,2,1,0,0
5195,3,5,2,1,0
1132,3,3,2,2,1
9837,3,5,2,1,1
4501,2,4,2,2,1
6354,0,3,2,0,0
9333,5,1,0,2,0
3390,0,4,0,0,0
3888,3,3,2,1,1
2962,4,3,1,0,1
4155,5,4,2,1,1
3259,0,0,2,0,0
6302,1,1,1,0,1
6034,3,1,0,2,0
7918,3,5,0,0,1
9936,3,1,2,1,1
2583,5,4,1,1,0
2813,0,2,0,2,1
3959,4,3,2,2,1
2947,5,0,2,2,0
6643,0,4,1,0,1
5174,1,3,0,2,1
6841,5,3,2,0,0
8298,1,0,0,1,0
3586,5,2,0,1,0
9228,5,3,2,0,1
7988,5,2,0,2,0
2563,3,0,2,2,1
2630,5,5,1,1,0
3190,1,1,2,2,1
7778,2,5,0,0,0
7645,3,3,2,2,1
5036,5,3,2,2,0
1080,5,4,1,1,0
4283,0,3,1,0,0
9711,2,4,1,1,0
7085,2,5,2,0,1
2085,5,4,0,2,0
6345,2,5,2,0,0
2452,2,3,2,0,0
4966,0,0,2,0,1
2023,0,0,1,1,0
8071,3,3,2,1,0
8987,5,3,2,1,0
8718,4,5,0,2,0
7321,3,5,2,2,1
226,5,5,1,2,0
1013,3,4,0,0,0
6679,0,0,2,1,1
1929,4,0,1,1,1
1043,3,1,1,1,1
5251,2,3,0,1,1
1404,5,1,1,1,1
2179,0,0,2,2,0
697,2,2,0,2,0
1124,3,2,0,2,0
7378,5,5,2,0,1
3895,2,4,2,0,0
8217,4,5,2,2,0
5110,0,0,0,0,1
1778,4,5,2,1,1
7786,4,3,1,1,0
2634,1,3,1,1,1
7187,2,1,1,2,1
7544,0,0,2,1,1
7604,1,4,1,2,1
3489,4,1,0,1,0
8259,0,5,1,2,1
1037,0,2,2,0,1
6093,0,1,0,0,1
2256,5,5,2,1,1
8188,5,3,2,0,0
2613,2,2,0,2,0
313,5,5,1,1,1
2649,2,0,1,1,1
2281,4,3,0,2,1
6741,2,3,0,0,0
2979,2,1,2,1,1
2547,5,5,0,0,0
5512,3,0,1,2,0
5132,0,0,2,0,1
2159,1,4,2,1,1
7080,4,0,0,1,1
3137,4,3,1,0,0
9079,3,0,2,1,0
5850,4,1,0,0,0
9865,0,2,0,1,0
6445,3,4,0,2,1
3967,3,1,2,0,0
1428,4,0,0,1,1
8422,0,3,0,2,1
2520,0,5,2,1,0
7837,1,1,1,2,1
4969,0,1,0,0,0
1855,0,3,1,0,0
8884,5,4,0,2,0
5602,4,4,0,0,0
9344,1,3,1,2,0
9868,1,3,1,0,1
448,5,4,0,2,0
7703,0,0,2,1,0
1284,4,1,2,1,0
5995,0,1,0,1,0
7899,5,0,0,1,1
3727,1,0,2,1,0
7353,3,1,2,2,1
361,5,4,1,1,0
6279,3,3,1,1,1
5230,0,0,2,0,1
8942,2,3,2,1,1
7295,4,0,0,1,1
8891,3,0,0,1,1
7534,1,5,2,1,1
6251,0,1,2,2,1
5926,4,3,0,1,0
5149,3,1,0,2,1
2460,4,2,0,0,1
22,4,0,1,0,0
2066,4,0,2,2,0
1653,4,2,1,2,1
702,5,2,0,0,1
8490,3,2,2,1,0
2743,3,4,2,2,1
1376,2,5,1,0,0
1724,1,2,1,0,1
2468,2,0,0,0,1
3754,5,4,0,1,0
2325,1,2,2,1,0
460,0,2,1,0,0
5163,2,2,0,0,1
4183,2,1,2,2,0
5526,2,5,1,1,1
4082,3,0,1,1,0
1486,3,4,2,1,0
3678,3,2,0,0,0
282,2,0,0,0,0
6579,0,2,2,2,1
4558,5,5,0,0,0
4308,4,0,0,2,1
6684,1,1,0,1,1
4865,0,4,0,0,1
3537,4,2,2,1,0
3868,1,3,2,0,0
7003,1,2,0,0,0
2581,5,5,0,0,0
1368,2,5,1,2,1
9469,4,5,2,0,1
8197,3,5,2,2,0
597,2,2,2,0,0
4351,2,1,1,1,0
6346,3,2,0,1,0
8976,1,1,1,2,1
6379,4,2,1,1,0
4758,0,1,1,1,0
646,2,4,2,1,1
6381,2,1,2,1,0
7527,1,1,0,2,1
9697,0,4,1,1,1
6023,2,4,1,1,0
7954,3,1,0,2,0
7165,0,3,1,0,0
3468,1,3,1,1,1
7797,5,2,2,2,1
7697,0,1,1,2,1
2990,4,5,2,2,0
9407,0,3,2,0,1
4875,5,3,0,2,1
2544,0,4,1,2,1
8595,0,4,2,1,0
5341,2,3,2,0,0
1567,3,4,1,1,0
9994,1,2,0,1,1
4066,2,5,1,1,0
3988,4,4,2,1,1
7031,5,5,2,2,1
2160,5,2,2,0,0
685,1,1,2,2,0
7602,5,5,0,1,0
7784,1,3,0,1,0
3243,0,1,1,2,1
5844,2,3,0,1,0
9219,4,3,1,0,0
2461,2,1,0,1,1
4083,5,0,1,0,0
2837,4,1,2,0,0
3697,4,2,1,1,0
7128,3,1,2,2,0
6267,4,4,0,1,0
4941,3,0,1,1,0
5946,2,1,0,2,1
4583,5,1,0,1,1
5784,5,0,0,0,1
4040,1,4,1,1,0
2230,1,5,0,0,0
7569,0,4,0,0,1
935,0,1,2,0,0
2320,5,2,0,0,0
4878,0,4,2,2,1
521,4,1,1,2,0
522,0,2,1,0,1
5345,4,0,0,0,1
9876,3,4,1,2,0
3359,2,3,1,2,1
1311,1,1,2,0,1
3983,2,5,2,0,0
6494,5,3,1,2,1
9560,0,2,1,2,0
1716,5,2,0,1,0
780,1,5,2,0,1
8798,4,2,2,0,1
8231,2,2,2,0,0
5607,2,1,2,0,1
5978,2,5,2,0,0
651,2,0,2,0,0
3747,3,5,0,2,1
2196,1,1,2,2,0
8418,0,4,2,2,0
369,3,5,0,0,1
9884,0,3,0,0,1
8005,5,2,0,2,1
4214,1,2,0,0,0
377,2,5,0,0,1
9446,4,3,2,0,0
2216,1,4,0,0,0
8682,4,1,1,1,0
1613,2,2,0,2,0
6979,1,4,1,1,1
7549,2,5,0,1,1
1827,2,1,0,1,1
3632,0,5,2,1,1
962,5,5,0,0,0
2993,0,0,0,0,1
6606,1,3,2,1,0
9672,4,5,1,0,1
2376,2,0,0,1,1
8880,2,2,1,1,0
359,1,4,0,1,0
3839,2,5,2,1,1
8184,5,2,1,2,1
1246,1,3,1,2,0
7504,5,1,0,1,1
8349,0,3,2,0,1
6511,1,4,1,2,0
5087,5,1,2,0,1
3694,1,3,0,1,1
1573,5,0,0,2,0
6281,2,0,0,0,1
5439,5,2,1,2,1
2567,2,4,2,0,0
3423,2,2,0,1,1
2037,1,5,2,0,1
9243,0,1,2,2,0
772,0,4,2,2,1
5380,0,3,2,2,0
9568,2,2,0,1,1
3562,0,3,2,2,0
562,1,3,2,1,0
6683,2,3,0,0,0
2546,0,5,1,1,0
5510,4,5,2,0,1
5330,5,5,2,2,1
9667,2,1,1,1,1
4531,2,2,0,0,1
1674,3,4,0,0,0
7395,0,4,1,2,0
365,2,5,0,0,1
8016,3,0,1,0,1
9376,3,1,2,0,1
4327,1,0,0,2,1
9983,0,4,0,2,1
147,0,0,2,0,0
1668,1,1,2,2,1
3088,1,5,2,1,0
8844,2,1,0,2,1
7650,3,2,1,0,0
407,3,1,0,0,1
9584,2,2,2,0,0
7788,3,4,1,2,0
3456,3,5,0,0,1
6186,4,0,2,1,1
4182,4,2,2,1,0
3576,2,5,1,1,0
3271,5,2,1,0,0
4940,2,4,1,2,0
1031,5,5,2,2,1
8872,4,2,2,1,1
6230,1,1,1,0,0
6592,2,4,1,2,1
8906,4,2,0,1,1
9811,2,1,2,2,1
6724,2,2,0,1,0
8029,0,2,0,1,1
8052,1,4,0,2,0
855,1,2,0,2,1
3926,4,3,0,1,1
8547,2,4,2,2,1
78,5,0,2,0,1
7088,3,2,0,1,0
2247,0,1,2,1,0
8263,2,2,1,2,0
4026,5,0,2,0,0
9949,0,5,2,2,1
9571,4,0,2,1,1
9295,3,5,1,0,1
714,3,4,0,2,0
7451,3,3,0,2,1
788,1,1,2,0,0
2279,0,3,2,0,0
4095,0,2,1,2,1
3897,1,2,0,1,1
7944,5,0,1,1,1
7177,4,3,1,0,1
9076,3,1,2,1,1
9452,3,4,0,1,1
3631,1,0,0,0,1
8624,3,2,0,0,0
7297,3,4,2,1,1
6272,1,4,0,1,0
424,5,3,2,1,0
392,1,5,0,0,0
3191,3,2,2,0,1
16,0,0,0,2,0
6335,2,0,2,1,1
4200,4,0,1,0,0
2672,4,0,2,1,0
2444,4,5,0,2,0
6697,5,1,0,1,0
6164,1,5,1,0,0
2601,4,4,1,2,0
3493,4,5,0,1,1
6044,5,4,0,2,1
1459,4,2,2,2,0
3804,5,0,0,1,0
9845,4,1,0,1,1
7394,5,2,2,1,1
4839,3,5,0,1,0
8111,1,3,1,2,0
3835,2,4,2,0,1
9313,3,2,2,0,1
5683,0,0,1,1,1
8748,4,4,1,0,1
5827,0,1,0,1,1
9748,3,0,2,0,0
4724,1,3,2,0,0
8759,2,3,0,2,1
5887,5,1,1,1,0
2355,4,0,1,0,0
6036,3,2,2,1,0
4798,3,3,1,2,0
2442,1,5,2,0,1
8645,1,0,1,0,0
4592,1,4,0,1,0
8772,1,4,0,0,1
464,4,2,1,1,1
163,2,4,0,1,0
9261,3,5,0,1,0
9433,3,4,1,0,0
8405,5,1,1,1,0
9777,1,3,2,0,1
9478,2,4,2,0,1
7380,3,5,0,2,1
6636,3,5,2,1,1
241,0,5,0,0,1
2009,5,3,2,0,0
6356,4,1,2,0,0
3084,4,0,2,1,0
6208,2,4,0,2,1
900,4,2,0,2,1
5542,1,0,0,1,1
6007,1,2,2,1,0
7638,1,2,0,2,1
6793,5,3,0,2,1
8869,4,3,0,1,0
7758,4,0,2,0,0
4837,1,5,0,0,0
2293,5,2,0,2,0
6548,2,4,1,2,0
7898,3,1,1,1,0
7977,5,0,2,2,0
4481,5,0,0,2,1
5302,5,4,0,2,1
4605,5,3,0,0,0
3716,2,0,2,1,1
9071,4,3,0,2,0
6140,4,4,0,0,0
1764,2,1,2,2,1
6598,1,1,1,2,1
1549,2,3,1,0,0
3029,2,2,0,1,0
8653,5,1,2,2,1
6298,5,1,2,1,1
6662,3,5,1,0,0
6626,2,2,0,1,0
2044,2,2,2,0,1
767,5,0,0,1,1
5693,3,1,2,0,0
7870,0,4,1,0,1
7795,0,1,2,1,0
1508,3,5,1,0,0
7230,1,5,2,2,0
7857,4,0,0,0,0
3302,4,4,2,1,1
4517,2,1,0,1,0
4219,5,5,0,0,1
9078,3,5,0,1,0
9940,0,1,0,2,1
3292,1,2,0,0,0
819,2,4,0,0,0
1403,1,2,2,2,0
1382,2,5,2,2,1
