image_id,prop_0,prop_1,prop_2,prop_3,prop_4
6252,5,2,1,0,0
4684,2,0,1,2,1
1731,5,0,0,2,1
4742,5,1,1,2,0
4521,3,3,1,2,0
6340,4,0,0,1,0
576,5,2,2,1,0
5202,4,2,1,2,1
6363,5,3,0,0,1
439,3,4,1,1,1
2750,1,2,1,1,1
7487,1,0,0,1,1
5272,3,5,0,2,1
5653,3,1,0,1,0
3999,3,0,1,2,0
6033,5,0,2,2,0
582,2,4,2,2,0
9930,3,4,0,2,0
7051,5,2,1,2,0
8158,3,0,2,0,0
9896,5,0,2,2,0
2249,1,3,2,1,1
4640,0,4,2,0,0
9485,1,2,1,1,0
4947,4,0,0,0,1
9920,0,2,2,2,1
1963,0,4,0,2,1
8243,0,4,2,0,1
6590,1,1,0,0,1
8847,3,1,2,0,1
321,2,5,2,2,1
2678,2,5,1,1,0
4625,3,2,0,0,0
4949,2,1,1,1,1
8328,2,2,0,0,1
3337,3,0,2,1,1
5589,4,4,1,0,0
251,5,1,2,2,0
3973,3,2,2,2,1
6630,2,0,0,2,0
5547,4,3,2,1,1
35,5,2,1,0,1
8362,3,5,0,2,1
1513,2,0,0,1,0
9317,4,5,0,0,0
39,2,4,1,2,1
4819,1,0,1,0,0
3465,0,1,2,0,1
1760,2,0,0,1,0
2304,3,2,1,1,1
3723,2,3,2,0,0
8284,1,2,2,1,0
4993,2,5,1,2,1
8127,4,3,2,0,1
3032,4,0,1,1,0
7938,1,0,1,0,0
3039,2,5,2,2,0
9655,5,4,2,0,1
2545,5,5,2,2,1
2592,5,1,0,2,1
1188,5,0,0,2,1
7966,3,1,1,1,0
6077,3,4,0,0,1
107,4,3,1,1,0
1315,3,1,2,2,1
8187,0,4,2,1,1
2753,5,3,0,2,1
9753,4,0,1,2,0
6231,5,0,2,0,0
2876,5,1,1,0,1
5323,0,4,2,1,0
799,4,1,0,1,1
3570,3,1,1,1,1
2894,1,3,0,0,0
2927,3,3,1,2,1
8178,5,3,0,1,0
971,4,2,0,0,0
6687,1,5,0,2,0
8575,0,2,2,0,0
2020,2,4,0,2,1
9054,1,5,0,2,0
952,1,4,0,2,1
5359,0,5,2,0,0
3857,4,2,1,2,0
5861,1,3,2,1,1
3145,0,3,2,1,1
3305,0,2,0,2,1
3006,5,1,2,1,0
9001,2,2,0,0,1
7770,5,1,1,2,1
7438,3,3,2,1,0
7942,0,3,2,2,0
9238,3,1,2,2,0
1056,3,4,2,1,0
3154,1,0,0,1,1
3787,4,0,2,2,0
9189,4,2,1,2,0
7825,0,3,0,2,1
7539,3,2,0,2,0
7231,3,4,0,2,0
764,0,0,1,0,1
5019,4,4,0,1,0
4903,0,5,0,0,0
8093,5,4,0,1,1
6843,1,5,0,2,0
2165,3,2,0,1,1
1862,5,5,2,2,1
7850,0,2,2,1,0
9123,0,4,0,2,1
2340,4,2,1,2,1
5527,3,0,0,1,1
6743,0,3,1,1,1
4003,0,3,2,1,0
1123,3,3,2,1,1
8709,2,5,0,2,0
4049,2,3,1,1,1
7640,1,2,1,1,0
765,4,3,0,2,0
2344,0,5,1,2,0
4071,0,2,0,0,0
7216,0,1,0,1,0
4216,2,4,2,0,1
7952,0,0,2,2,0
5970,1,0,0,2,0
3350,3,5,2,1,0
4695,3,4,0,0,1
3399,3,1,0,2,0
4081,4,5,1,1,1
9149,3,3,1,2,0
1224,2,3,1,1,1
6292,0,5,2,2,1
3122,1,2,1,0,1
510,4,0,0,0,0
5794,2,0,1,0,1
8181,5,2,1,2,0
9417,4,3,0,1,0
96,4,2,0,1,1
6681,2,1,1,1,0
1512,1,4,2,2,1
8791,5,4,0,2,1
119,4,4,1,1,1
7791,0,2,1,0,0
6517,3,1,1,0,1
33,2,5,2,1,0
7887,3,3,2,2,1
6830,0,1,1,2,0
5421,5,5,2,2,1
1068,2,0,2,1,1
1347,3,2,2,1,0
4747,3,1,2,1,0
6005,0,5,1,2,1
6039,1,1,1,1,1
3817,2,0,1,1,0
8446,1,4,2,2,0
5269,5,3,2,0,1
6897,3,1,2,0,1
5309,3,0,0,1,1
31,1,4,2,0,1
5674,3,0,2,0,0
4386,1,0,0,0,0
29,0,0,2,0,1
4202,5,0,2,0,1
7507,4,4,1,0,0
735,4,3,1,0,1
2067,2,0,1,1,1
106,2,2,2,0,0
9644,1,1,0,1,0
8894,3,0,0,1,0
8020,2,2,1,2,1
2232,1,4,0,2,1
993,3,1,1,2,0
9412,3,3,2,2,1
7058,3,5,0,2,1
6789,5,0,1,0,1
360,5,1,2,0,1
304,1,2,0,2,1
2627,0,5,1,2,0
8965,0,0,1,0,0
4513,0,3,1,1,1
5910,5,5,0,2,0
8313,3,3,2,2,1
3100,3,0,2,0,0
5703,3,4,0,0,0
3898,0,2,1,0,1
5440,1,0,2,1,0
7930,2,4,0,0,1
621,4,3,1,0,0
7235,4,3,1,2,1
2498,0,1,1,0,1
713,3,4,0,2,1
8403,3,0,1,0,1
2855,3,3,1,0,1
4269,4,0,1,1,0
2908,5,0,2,0,0
8080,4,5,1,1,1
4516,5,2,1,2,1
1261,3,3,0,1,0
3160,5,4,2,0,1
970,2,2,2,0,0
3912,3,1,2,2,1
5198,0,2,1,1,1
8846,3,0,0,2,1
259,4,4,1,1,0
3790,1,4,0,1,1
9202,1,1,2,2,1
487,3,1,1,0,0
7907,1,1,0,0,0
518,4,2,0,2,0
8342,4,0,1,0,0
311,3,1,0,2,0
3231,4,2,1,1,0
7932,0,2,0,2,1
7457,2,2,0,0,1
9783,5,2,0,2,0
5183,0,3,1,1,0
8076,1,2,0,0,0
6501,2,5,2,1,0
6790,2,4,0,2,1
7772,5,1,1,0,0
2737,0,3,0,2,1
7841,3,4,0,1,1
6261,1,4,1,0,1
8205,3,4,0,2,1
1247,1,4,2,1,0
9335,2,2,2,0,0
4194,4,0,1,0,0
8000,4,3,0,0,1
7377,4,4,0,2,1
3434,2,4,2,2,0
5381,2,3,2,0,1
958,4,0,2,0,1
416,1,3,1,2,1
5741,4,1,0,2,0
6727,0,4,2,1,0
4381,0,3,2,1,1
5196,3,3,1,1,1
1112,5,2,0,1,0
2688,5,3,1,0,0
6472,0,2,0,0,0
8819,2,4,2,0,0
7807,2,2,2,2,1
3410,3,1,1,1,0
80,5,0,1,0,0
4613,4,5,2,2,0
1373,3,1,0,1,1
1509,2,3,1,0,0
6442,3,3,0,1,0
3070,4,2,1,0,0
3015,5,3,2,0,0
4822,4,4,1,0,0
7821,3,2,2,0,0
92,3,2,2,1,0
9420,3,3,0,1,1
6599,2,3,0,1,0
4442,4,1,2,1,0
7601,0,1,1,0,0
3834,5,0,1,2,1
9701,4,5,2,1,1
