image_id,blank_row,blank_col,prop_0,prop_1,prop_2,prop_3,prop_4,difficulty,has_conditional,is_noisy
0,0,2,0,5,2,0,1,3,0,1
1,1,3,1,3,0,1,1,1,0,0
2,0,2,0,0,1,2,1,3,1,1
3,0,3,0,0,1,2,0,3,1,0
4,2,1,0,0,1,2,1,3,0,0
5,1,0,3,3,0,1,0,3,1,0
6,1,2,5,3,2,1,0,3,1,0
7,0,0,3,4,1,1,0,2,0,0
8,0,0,5,3,0,2,0,1,0,0
9,2,0,1,0,0,1,0,3,0,0
10,1,1,4,2,0,1,1,2,0,1
11,2,3,2,0,0,0,1,2,0,0
12,2,0,3,2,2,1,1,3,0,0
13,1,0,1,2,1,0,0,3,1,0
14,0,0,5,2,1,2,0,3,0,0
15,0,2,1,4,0,1,0,3,0,0
16,0,3,0,0,0,2,0,3,0,0
17,0,0,0,0,0,1,0,3,1,0
18,1,1,5,4,2,0,0,3,0,0
19,2,0,3,3,1,2,1,2,0,0
20,0,1,4,5,1,0,1,3,0,0
21,0,1,2,2,2,2,0,2,0,0
22,0,2,4,0,1,0,0,2,0,0
23,0,0,3,1,0,0,1,1,0,0
24,2,1,5,5,1,0,0,3,0,0
25,1,3,3,0,0,0,1,3,0,0
26,0,2,5,0,0,2,0,3,0,0
27,1,2,0,3,0,1,1,3,0,0
28,1,2,3,4,2,2,0,3,0,0
29,1,3,0,0,2,0,1,3,0,0
30,1,2,3,2,0,0,1,3,0,0
31,1,3,1,4,2,0,1,2,0,0
32,0,1,3,5,0,2,0,3,0,1
33,0,0,2,5,2,1,0,2,0,0
34,1,0,3,4,1,2,1,3,0,0
35,0,1,5,2,1,0,1,2,0,0
36,2,1,1,3,2,1,0,2,0,0
37,2,2,1,2,1,2,1,3,0,0
38,2,1,2,3,0,1,1,3,0,0
39,1,0,2,4,1,2,1,3,0,0
40,2,1,4,2,0,0,1,3,1,0
41,0,3,0,0,0,0,0,3,0,1
42,2,0,5,2,2,1,1,2,0,0
43,1,0,1,0,2,2,0,3,0,0
44,1,3,4,2,0,0,1,3,0,0
45,0,0,5,1,0,1,1,3,1,1
46,2,1,5,0,0,2,0,3,1,0
47,0,3,0,3,0,2,0,2,0,0
48,0,2,1,4,0,1,1,3,0,0
49,1,0,3,1,0,1,0,3,0,0
50,2,1,3,4,2,1,0,2,0,0
51,0,0,1,0,0,0,1,3,0,0
52,0,3,0,3,2,1,0,3,0,0
53,2,0,4,2,1,2,0,2,0,0
54,0,1,2,5,1,1,0,3,0,0
55,2,1,1,3,1,0,0,3,0,0
56,2,2,2,4,0,0,0,2,0,0
57,1,2,3,2,0,1,1,3,0,0
58,1,1,2,3,0,1,1,3,1,1
59,1,3,1,1,2,2,0,2,0,0
60,2,1,5,0,1,0,0,2,0,1
61,1,2,2,1,0,2,0,2,0,0
62,2,0,2,1,1,2,1,3,0,0
63,0,3,2,4,0,0,1,1,0,0
64,2,2,1,3,0,0,0,3,0,0
65,2,3,1,1,0,1,1,2,0,0
66,1,2,1,3,1,1,1,3,1,0
67,2,1,4,4,2,1,0,2,0,0
68,1,0,3,4,2,1,1,3,0,0
69,1,3,1,1,2,0,1,3,1,0
70,0,0,5,2,2,1,0,3,1,0
71,0,3,2,2,2,0,1,3,0,1
72,1,2,4,3,1,1,0,3,1,0
73,1,3,4,4,1,2,0,3,0,0
74,1,0,4,5,0,1,1,2,0,1
75,1,2,5,2,1,0,0,3,0,0
76,2,3,3,0,1,1,0,3,0,0
77,0,2,5,2,0,1,1,3,0,0
78,2,1,5,0,2,0,1,2,0,0
79,0,0,2,0,1,2,0,3,0,0
80,1,2,5,0,1,0,0,1,0,0
81,2,3,3,0,2,2,0,3,0,0
82,1,2,2,0,1,2,1,3,1,0
83,0,2,2,1,1,2,1,1,0,0
84,0,2,0,4,1,2,0,3,0,1
85,1,1,5,5,0,1,1,3,0,0
86,2,1,4,3,2,0,0,2,0,1
87,0,1,2,2,0,1,1,2,0,0
88,2,2,4,3,1,1,0,2,0,0
89,2,3,4,2,0,1,0,3,1,0
90,1,3,1,5,1,1,1,3,0,1
91,1,1,3,1,1,1,0,3,0,0
92,1,3,3,2,2,1,0,2,0,1
93,1,2,3,2,2,1,1,3,1,0
94,2,1,0,5,2,0,0,3,0,0
95,1,1,4,2,1,1,1,3,0,0
96,2,3,4,2,0,1,1,3,1,1
97,1,3,2,2,0,2,0,3,1,0
98,0,2,0,5,1,2,1,3,1,0
99,1,0,1,5,2,1,0,2,0,0
100,2,3,3,2,0,1,0,3,0,1
101,2,2,4,2,2,2,1,3,0,1
102,1,3,4,4,0,0,1,3,0,0
103,1,1,2,1,0,2,1,3,0,0
104,2,0,5,1,2,0,0,3,1,0
105,0,0,0,3,2,2,0,3,0,0
106,2,1,2,2,2,0,0,3,1,0
107,1,1,4,3,1,1,0,3,0,0
108,1,0,3,0,1,1,0,3,1,0
109,1,0,5,0,1,1,1,3,0,0
110,0,1,3,3,2,2,1,3,1,0
111,1,3,2,2,1,0,0,3,0,0
112,2,0,4,3,0,2,0,3,0,0
113,1,2,5,1,2,2,1,3,0,0
114,2,1,4,1,1,2,1,3,0,0
115,0,1,1,4,1,2,0,3,0,0
116,1,2,0,2,0,0,0,2,0,0
117,1,1,4,3,0,2,1,2,0,0
118,1,0,1,4,0,2,0,2,0,0
119,0,0,4,4,1,1,1,3,0,0
120,2,3,0,2,1,1,1,3,0,0
121,2,2,5,5,2,1,1,3,0,0
122,2,2,1,1,2,1,1,3,1,0
123,0,2,5,5,2,2,0,3,0,0
124,0,3,2,1,2,2,0,2,0,0
125,2,1,1,1,1,1,1,2,0,0
126,0,0,5,1,2,0,1,3,0,0
127,0,1,0,1,0,2,1,3,0,0
128,2,3,0,5,2,1,0,3,1,1
129,0,0,3,2,0,1,1,2,0,0
130,1,3,3,5,2,1,0,3,0,0
131,2,3,5,2,0,1,0,2,0,0
132,0,3,4,0,1,1,1,3,1,0
133,1,2,4,3,0,0,1,3,0,1
134,0,2,5,5,1,2,0,3,0,0
