incident_id,actor,action,location,time_period,severity,contributing_factor
3,VA003,VA019,VL011,VT005,VS002,VC003
6,VA018,VA006,VL001,VT001,VS000,VC003
8,VA029,VA007,VL004,VT006,VS001,VC010
9,VA018,VA018,VL012,VT006,VS004,VC004
10,VA003,VA019,VL010,VT005,VS001,VC007
12,VA014,VA014,VL010,VT006,VS002,VC006
17,VA022,VA016,VL008,VT002,VS004,VC003
20,VA018,VA016,VL008,VT002,VS001,VC002
30,VA026,VA016,VL002,VT000,VS004,VC010
40,VA019,VA008,VL001,VT001,VS003,VC006
45,VA029,VA004,VL011,VT000,VS000,VC003
47,VA029,VA006,VL009,VT002,VS004,VC006
50,VA024,VA013,VL011,VT005,VS000,VC001
53,VA021,VA001,VL005,VT000,VS001,VC001
54,VA028,VA013,VL002,VT004,VS001,VC000
60,VA025,VA005,VL007,VT001,VS003,VC009
73,VA000,VA003,VL008,VT006,VS003,VC011
74,VA001,VA008,VL010,VT006,VS000,VC003
75,VA015,VA013,VL011,VT004,VS001,VC003
77,VA005,VA015,VL013,VT003,VS001,VC002
78,VA025,VA000,VL002,VT007,VS004,VC000
79,VA027,VA011,VL009,VT004,VS004,VC003
80,VA003,VA013,VL009,VT006,VS004,VC002
82,VA011,VA006,VL005,VT003,VS003,VC011
92,VA015,VA005,VL013,VT000,VS004,VC000
98,VA028,VA000,VL009,VT004,VS004,VC000
106,VA001,VA015,VL014,VT004,VS000,VC003
108,VA026,VA006,VL008,VT003,VS003,VC009
111,VA006,VA005,VL000,VT004,VS003,VC000
113,VA015,VA011,VL006,VT007,VS000,VC010
132,VA006,VA004,VL003,VT004,VS003,VC007
146,VA021,VA012,VL008,VT001,VS004,VC000
150,VA020,VA017,VL003,VT002,VS000,VC008
153,VA012,VA003,VL013,VT004,VS003,VC002
157,VA001,VA015,VL008,VT001,VS000,VC001
164,VA029,VA005,VL008,VT000,VS003,VC006
167,VA013,VA008,VL007,VT007,VS002,VC010
173,VA018,VA017,VL010,VT003,VS004,VC000
179,VA016,VA013,VL006,VT006,VS002,VC009
185,VA011,VA014,VL006,VT005,VS003,VC000
192,VA027,VA009,VL006,VT007,VS000,VC000
202,VA007,VA009,VL011,VT003,VS002,VC005
203,VA002,VA010,VL011,VT001,VS004,VC010
205,VA002,VA000,VL010,VT004,VS003,VC000
206,VA006,VA008,VL007,VT003,VS002,VC010
208,VA004,VA013,VL002,VT004,VS003,VC004
212,VA001,VA007,VL001,VT003,VS001,VC010
215,VA027,VA016,VL010,VT001,VS003,VC000
222,VA023,VA003,VL001,VT006,VS002,VC011
225,VA006,VA003,VL002,VT006,VS001,VC001
236,VA015,VA011,VL006,VT002,VS004,VC002
238,VA002,VA008,VL009,VT001,VS000,VC007
242,VA012,VA010,VL012,VT003,VS003,VC005
247,VA020,VA016,VL009,VT004,VS004,VC004
251,VA019,VA016,VL011,VT007,VS002,VC007
255,VA021,VA007,VL008,VT002,VS004,VC001
256,VA022,VA017,VL011,VT006,VS004,VC007
257,VA016,VA001,VL012,VT004,VS001,VC003
259,VA002,VA008,VL005,VT000,VS002,VC010
261,VA003,VA008,VL004,VT004,VS004,VC002
262,VA022,VA005,VL001,VT007,VS002,VC010
264,VA001,VA016,VL002,VT003,VS003,VC007
272,VA026,VA001,VL009,VT006,VS000,VC007
275,VA002,VA006,VL011,VT005,VS004,VC004
276,VA005,VA016,VL010,VT004,VS004,VC001
