incident_id,actor,action,location,time_period,severity,contributing_factor
0,VA029,VA005,VL005,VT003,VS000,VC000
1,VA012,VA016,VL009,VT007,VS000,VC005
2,VA010,VA000,VL011,VT002,VS000,VC011
4,VA003,VA013,VL007,VT006,VS003,VC003
5,VA022,VA008,VL003,VT007,VS002,VC003
7,VA026,VA012,VL008,VT007,VS003,VC008
11,VA002,VA002,VL001,VT007,VS004,VC006
13,VA000,VA004,VL009,VT005,VS002,VC004
14,VA005,VA000,VL002,VT003,VS001,VC010
15,VA005,VA014,VL014,VT002,VS003,VC002
16,VA009,VA010,VL008,VT004,VS003,VC001
18,VA013,VA017,VL013,VT000,VS000,VC008
19,VA011,VA011,VL009,VT003,VS002,VC010
21,VA011,VA006,VL004,VT003,VS003,VC008
22,VA002,VA014,VL006,VT007,VS000,VC001
23,VA016,VA011,VL001,VT001,VS000,VC001
24,VA015,VA018,VL004,VT007,VS004,VC004
25,VA006,VA010,VL013,VT003,VS004,VC006
26,VA012,VA000,VL002,VT004,VS003,VC005
27,VA012,VA000,VL005,VT002,VS000,VC008
28,VA000,VA019,VL009,VT004,VS004,VC009
29,VA007,VA005,VL007,VT005,VS000,VC004
31,VA019,VA012,VL005,VT000,VS000,VC007
32,VA007,VA014,VL003,VT000,VS003,VC001
33,VA027,VA002,VL007,VT002,VS000,VC011
34,VA010,VA007,VL010,VT000,VS004,VC004
35,VA024,VA005,VL002,VT003,VS002,VC008
36,VA025,VA011,VL000,VT002,VS004,VC005
37,VA025,VA019,VL012,VT005,VS003,VC001
38,VA025,VA003,VL002,VT006,VS003,VC003
39,VA001,VA009,VL004,VT005,VS000,VC000
41,VA021,VA009,VL006,VT007,VS004,VC010
42,VA018,VA009,VL005,VT007,VS001,VC003
43,VA019,VA000,VL013,VT006,VS000,VC008
44,VA024,VA016,VL010,VT000,VS004,VC000
46,VA022,VA004,VL004,VT003,VS002,VC008
48,VA015,VA008,VL011,VT000,VS001,VC009
49,VA015,VA007,VL008,VT007,VS000,VC008
51,VA013,VA000,VL006,VT002,VS001,VC008
52,VA008,VA001,VL008,VT004,VS002,VC002
55,VA013,VA016,VL013,VT000,VS004,VC003
56,VA019,VA003,VL006,VT003,VS003,VC008
57,VA000,VA014,VL003,VT007,VS002,VC009
58,VA005,VA013,VL007,VT003,VS004,VC009
59,VA018,VA006,VL013,VT005,VS000,VC001
61,VA007,VA001,VL007,VT000,VS002,VC000
62,VA012,VA008,VL002,VT004,VS000,VC003
63,VA011,VA012,VL001,VT004,VS003,VC007
64,VA011,VA001,VL012,VT000,VS002,VC011
65,VA001,VA001,VL011,VT001,VS002,VC011
66,VA026,VA019,VL001,VT007,VS002,VC002
67,VA001,VA008,VL011,VT000,VS004,VC005
68,VA000,VA006,VL004,VT004,VS002,VC007
69,VA001,VA001,VL012,VT000,VS003,VC003
70,VA001,VA016,VL008,VT005,VS003,VC006
71,VA011,VA014,VL002,VT002,VS001,VC008
72,VA026,VA015,VL007,VT006,VS002,VC007
76,VA002,VA011,VL004,VT005,VS003,VC006
81,VA005,VA006,VL008,VT002,VS003,VC009
83,VA012,VA001,VL007,VT006,VS000,VC009
84,VA000,VA018,VL007,VT004,VS004,VC006
85,VA015,VA005,VL009,VT006,VS003,VC007
86,VA028,VA013,VL002,VT001,VS003,VC007
87,VA001,VA002,VL006,VT004,VS001,VC002
88,VA024,VA002,VL009,VT007,VS002,VC001
89,VA010,VA011,VL005,VT005,VS002,VC001
90,VA018,VA012,VL011,VT005,VS002,VC008
91,VA018,VA013,VL000,VT004,VS000,VC005
93,VA006,VA017,VL007,VT004,VS003,VC003
94,VA023,VA019,VL005,VT007,VS002,VC008
95,VA026,VA008,VL009,VT002,VS003,VC004
96,VA025,VA019,VL013,VT000,VS001,VC004
97,VA003,VA004,VL005,VT007,VS003,VC000
99,VA016,VA008,VL013,VT002,VS001,VC002
100,VA025,VA016,VL011,VT003,VS003,VC003
101,VA025,VA010,VL004,VT000,VS000,VC010
102,VA005,VA008,VL000,VT001,VS001,VC010
103,VA000,VA010,VL003,VT007,VS004,VC006
