incident_id,actor,action,location,time_period,severity,contributing_factor
0,Worker-B1,disabled sensor,Roof-Access,evening,moderate,weather-conditions
1,Worker-F3,misread gauge,Corridor-North,late-morning,moderate,complacency
2,Worker-E3,left valve open,Storage-West,night,moderate,time-pressure
3,Worker-E0,tripped over cable,Storage-West,noon,low,supervision-lapse
4,Worker-E0,dropped container,Mezzanine,mid-morning,critical,supervision-lapse
5,Worker-E4,crossed barrier,Corridor-South,late-morning,low,supervision-lapse
6,Worker-F2,forgot PPE,Yard-Exterior,late-afternoon,moderate,supervision-lapse
7,Worker-E2,blocked exit path,Storage-East,late-morning,critical,equipment-malfunction
8,Worker-B1,removed guard,Loading-Dock,mid-morning,high,procedural-gap
9,Worker-F2,bypassed lock,Bay-2,mid-morning,minor,distraction
10,Worker-E0,tripped over cable,Bay-4,noon,high,understaffing
11,Worker-C1,used wrong tool,Yard-Exterior,late-morning,minor,poor-lighting
12,Worker-D2,skipped inspection,Bay-4,mid-morning,low,poor-lighting
13,Worker-E1,started machine early,Corridor-North,noon,low,distraction
14,Worker-F4,left valve open,Basement-Pump,evening,high,procedural-gap
15,Worker-F4,skipped inspection,Bay-5,night,critical,inadequate-training
16,Worker-C4,mixed chemicals,Storage-East,early-afternoon,critical,fatigue
17,Worker-E4,misread gauge,Storage-East,night,minor,supervision-lapse
18,Worker-B2,entered restricted zone,Bay-3,early-morning,moderate,equipment-malfunction
19,Worker-A0,overloaded circuit,Corridor-North,evening,low,procedural-gap
20,Worker-F2,misread gauge,Storage-East,night,high,inadequate-training
21,Worker-A0,forgot PPE,Loading-Dock,evening,critical,equipment-malfunction
22,Worker-C1,skipped inspection,Control-Room,late-morning,moderate,fatigue
23,Worker-A2,overloaded circuit,Yard-Exterior,late-afternoon,moderate,fatigue
24,Worker-A4,bypassed lock,Loading-Dock,late-morning,minor,distraction
25,Worker-B4,mixed chemicals,Bay-3,evening,minor,poor-lighting
26,Worker-F3,left valve open,Basement-Pump,early-afternoon,critical,complacency
27,Worker-F3,left valve open,Roof-Access,night,moderate,equipment-malfunction
28,Worker-E1,tripped over cable,Corridor-North,early-afternoon,minor,communication-failure
29,Worker-B0,disabled sensor,Mezzanine,noon,moderate,distraction
30,Worker-E2,misread gauge,Basement-Pump,early-morning,minor,procedural-gap
31,Worker-F1,blocked exit path,Roof-Access,early-morning,moderate,understaffing
32,Worker-B0,skipped inspection,Corridor-South,early-morning,critical,fatigue
33,Worker-D3,used wrong tool,Mezzanine,night,moderate,time-pressure
34,Worker-E3,removed guard,Bay-4,early-morning,minor,distraction
35,Worker-D4,disabled sensor,Basement-Pump,evening,low,equipment-malfunction
36,Worker-D1,overloaded circuit,Bay-1,night,minor,complacency
37,Worker-D1,tripped over cable,Bay-2,noon,critical,fatigue
38,Worker-D1,stored improperly,Basement-Pump,mid-morning,critical,supervision-lapse
39,Worker-F0,ignored alarm,Loading-Dock,noon,moderate,weather-conditions
40,Worker-F1,crossed barrier,Yard-Exterior,late-afternoon,critical,poor-lighting
41,Worker-A1,ignored alarm,Control-Room,late-morning,minor,procedural-gap
42,Worker-F2,ignored alarm,Roof-Access,late-morning,high,supervision-lapse
43,Worker-F1,left valve open,Bay-3,mid-morning,moderate,equipment-malfunction
44,Worker-D4,misread gauge,Bay-4,early-morning,minor,weather-conditions
45,Worker-B1,started machine early,Storage-West,early-morning,moderate,supervision-lapse
46,Worker-E4,started machine early,Loading-Dock,evening,low,equipment-malfunction
47,Worker-B1,forgot PPE,Corridor-North,night,minor,poor-lighting
48,Worker-A4,crossed barrier,Storage-West,early-morning,high,communication-failure
49,Worker-A4,removed guard,Storage-East,late-morning,moderate,equipment-malfunction
50,Worker-D4,dropped container,Storage-West,noon,moderate,fatigue
