sample_id,quality_tier
36978,0
52808,2
26467,2
50388,3
7377,1
2010,4
45193,0
52786,0
27690,0
51167,1
10190,0
35335,4
45733,0
30823,3
1902,2
43049,2
58293,1
24102,0
36527,2
16347,3
28767,4
39017,1
6047,4
18996,4
35725,3
19310,4
51095,4
51703,4
6907,3
9751,1
38551,1
54038,1
12312,2
18130,4
39846,1
9114,1
28457,1
944,1
31481,2
27399,2
37739,4
52349,0
27579,3
6984,1
51523,1
42548,3
44187,2
38745,1
44288,3
28214,0
8062,2
52020,4
48171,3
26058,2
8559,0
58401,2
32911,1
55756,3
49620,3
13786,0
34986,2
37081,0
22658,0
37367,3
42120,4
27066,1
10204,4
10807,0
57262,4
6765,2
31813,2
35713,0
25669,2
3188,4
47905,4
8031,2
24796,4
21380,3
30436,4
16568,1
45626,0
42842,3
36394,1
47785,2
54958,4
26926,2
13733,0
13965,3
56941,1
49411,0
9797,3
41552,2
25717,4
34010,0
22402,4
59838,0
8463,0
3925,2
27738,1
55343,4
8730,4
21946,2
37895,4
1360,2
5950,2
41911,4
49438,4
8884,4
4905,0
15256,1
58098,0
35109,2
19748,2
48273,4
48626,4
56449,3
43270,3
528,2
52644,3
44427,4
2369,3
12569,2
44415,2
13412,2
35399,3
11226,0
31770,4
7715,1
5024,2
46475,2
33071,2
36930,2
54590,3
59034,1
37304,4
4597,0
53724,2
44308,2
9470,0
20593,2
19171,2
49908,3
21507,1
10652,0
53854,1
48015,1
51102,3
40253,2
16740,2
59558,4
47506,2
3909,0
58850,2
18704,4
19703,3
15919,2
2019,0
54969,4
567,4
54892,4
58114,1
57658,2
4486,3
14404,0
30279,0
59117,1
48738,0
23871,0
48044,2
52925,3
35338,4
25298,4
25551,2
11278,2
13526,3
28133,1
56456,0
11802,0
24146,0
15909,0
36051,1
7257,1
50130,0
6574,2
32668,3
7803,0
24686,1
2526,1
24187,0
28391,1
31704,4
32269,4
40724,3
52837,3
32926,4
55665,3
39470,2
34828,0
33649,0
14063,0
27883,3
33044,2
666,3
15739,3
21343,2
23434,0
37651,4
24709,0
45911,0
6762,0
6615,0
22441,3
37570,3
44207,3
49802,2
6299,4
4179,4
39938,4
22889,2
41368,4
1832,1
45488,4
48863,4
11519,4
2058,2
54010,3
29674,1
36533,4
21303,2
53423,0
39107,0
14690,3
29986,3
12823,1
27621,1
42607,1
17866,1
57622,4
14732,4
23016,0
45942,4
48101,2
13397,3
7549,4
24945,2
48036,2
18932,1
59143,3
642,3
59245,3
58373,2
19853,4
11043,1
45696,1
20448,0
4781,1
18242,0
6579,4
54250,3
36491,1
44698,0
34168,0
19739,3
33289,4
24243,3
4030,2
13027,3
58882,3
59495,0
13056,4
10060,4
36776,0
47641,1
12812,1
47347,2
14455,4
54717,3
42017,2
58458,0
50854,0
33909,3
17256,1
9630,2
6336,1
39426,0
54339,2
38796,1
4231,0
22959,0
306,4
9945,2
18660,0
58390,4
50373,1
19479,4
1924,1
51316,3
20102,3
55696,0
31098,4
24016,2
59225,0
22203,2
27920,3
58737,4
4301,1
20754,4
28109,4
51783,2
42145,3
49163,4
22320,2
10456,2
260,0
28490,0
50175,3
25772,2
1091,0
6931,3
21033,3
26785,2
30955,0
23465,3
23526,2
25409,2
7292,2
49395,1
51116,1
25474,3
13463,3
35185,0
52382,0
4676,4
2921,2
35577,1
35017,0
15419,2
38247,4
47314,4
53875,1
42225,4
38041,1
28768,1
2459,1
56898,3
10547,1
8621,3
11158,4
55166,0
50086,4
46205,1
56808,1
30262,4
29529,4
36282,0
5487,3
3338,2
58933,4
27584,1
6060,1
17776,1
37116,2
3841,4
7470,2
3691,1
22151,0
15290,1
4395,4
38973,3
34607,2
12186,3
35136,0
19394,0
23142,0
3339,3
5212,4
48776,2
46423,0
18040,4
35396,2
57888,4
10903,1
56065,2
1999,0
36649,4
14434,2
16965,0
20599,2
31171,4
49537,1
27898,3
23608,3
38515,3
22488,0
25198,1
58255,3
3465,3
58000,0
46178,2
43665,4
10363,2
59011,2
28180,0
33522,2
23903,1
443,2
53356,4
33740,3
11652,1
49347,4
33593,4
56863,4
12204,3
13142,3
25976,3
56059,1
51022,0
46644,4
32175,2
10529,0
19095,1
16191,3
36210,1
6820,3
50166,0
55918,1
35105,0
41406,0
21256,1
3066,4
40750,1
33387,2
49638,4
20293,1
29158,4
51216,1
18907,0
59729,1
1934,2
59669,0
4694,1
7741,4
38294,4
33637,0
8272,4
27278,4
13942,1
36007,1
25037,3
27498,0
36534,2
815,4
53016,2
48424,4
1049,3
48489,4
30164,1
24373,0
26562,1
45320,4
16020,2
35079,3
23453,1
55244,1
42816,3
4617,3
908,0
48385,2
17488,1
18677,4
3535,1
10033,4
7273,2
5651,4
52714,1
30472,4
14866,3
33525,2
46944,3
20505,4
947,3
42161,2
15100,0
8303,4
1701,3
58610,4
31457,2
56,1
730,2
33746,3
16979,0
29782,3
52762,3
40498,2
22578,3
54169,1
31126,1
41069,3
18781,1
4960,2
46397,2
45037,4
37132,2
28242,2
46114,1
47912,2
38501,1
32470,1
29764,1
54782,3
31688,0
23246,1
55712,3
57524,4
1614,2
16292,2
30175,3
59586,0
25360,2
6764,0
27467,0
2366,3
14235,0
52849,4
30204,4
53162,2
3996,0
39842,0
9488,4
40308,4
29489,4
3679,3
17997,4
19323,0
28415,2
28682,0
17993,0
40655,4
55713,4
21354,1
56100,4
38299,0
9862,3
42060,2
22485,4
5608,0
11552,0
29203,0
36700,3
40861,3
58486,2
36572,4
24496,3
22870,0
48164,1
20133,0
2160,3
43132,3
15768,2
32692,0
10489,1
42602,2
58324,4
58669,2
4830,1
7694,0
41723,0
49373,4
7145,4
15025,4
29119,0
48993,4
38057,0
27873,4
26179,0
2340,2
25765,1
2913,0
43350,0
27453,2
53252,0
47541,0
38995,0
32283,3
55291,4
26974,3
9394,4
7207,1
46465,4
57814,2
35245,3
25058,1
50105,0
20942,0
35051,2
7904,2
55081,3
59994,2
36903,1
39807,3
39205,3
6021,0
33894,2
53070,0
40076,4
55379,2
20246,1
56740,4
1669,1
58732,1
45793,2
8176,2
33706,2
5624,1
50315,2
49710,4
20282,2
43102,2
7919,4
42923,0
54959,1
31499,4
16863,1
34364,1
4861,4
54092,3
46611,1
10985,0
29829,2
10679,4
25857,4
47900,2
41241,3
46399,4
43147,3
11805,4
41037,3
48975,0
9649,4
22099,0
16259,0
18170,0
44669,1
7820,3
59675,0
54459,2
22102,1
15008,2
47590,3
9415,2
48974,3
33651,4
32747,0
25143,2
8798,1
11741,2
56238,1
55560,4
37687,1
15619,2
25816,1
8933,1
41335,2
18361,3
43563,3
50369,1
16206,3
10336,0
30552,3
34928,3
24204,3
33758,1
2654,3
43246,3
21818,3
57288,1
56360,3
27897,3
1137,3
12974,4
11596,3
510,2
10129,0
51349,3
56618,2
9243,2
57999,3
33607,0
37389,2
30666,0
55631,2
30203,1
36725,2
4839,3
37657,4
55662,2
21446,1
18013,2
21224,2
45811,1
30226,0
33910,1
28039,2
6189,0
44971,2
7432,4
11920,0
48260,0
9228,1
21845,0
24240,1
37924,2
18185,3
21140,1
44063,3
14456,4
37117,2
6929,4
57368,0
33298,3
9732,4
47169,0
42595,4
1919,1
43713,3
45592,1
53204,0
51456,0
51695,0
31912,0
42800,0
1949,4
40551,2
30540,0
49029,2
56354,1
44134,1
43372,0
32126,4
32017,1
2365,0
44197,4
12314,1
21175,4
43339,3
11698,0
58520,4
22725,2
27452,4
33615,3
2377,2
15141,0
25653,0
24278,4
59518,4
14551,2
1903,1
22597,3
53615,3
49352,1
12294,3
50698,4
3060,4
20243,4
57131,4
16672,3
15531,3
56770,4
582,3
21071,4
47119,0
11471,3
7035,1
48670,0
34728,1
34948,4
50469,1
48384,0
10327,4
40391,1
21101,0
26997,4
56337,4
49974,3
19154,4
38969,0
46616,2
44654,1
16065,3
6163,2
45235,4
9471,1
12511,2
33529,3
26783,2
13584,4
34319,3
16569,3
59318,2
18740,0
20446,4
43625,1
1652,0
54968,4
1415,1
17198,4
46350,4
47019,0
10355,0
41011,4
48170,2
7614,0
4327,0
15021,2
8776,0
42244,4
31887,0
31749,0
40438,0
21183,3
52909,2
52904,1
33333,2
6630,0
23764,4
35886,2
47822,3
29348,3
16788,4
6805,0
13546,2
41881,3
13176,0
13470,4
45403,3
49775,0
12846,1
14246,2
