sample_id,source,target
2308,ve pipvi HAB DU GEN SBJ PAS,pipvizirvinnefse
22404,zev keti FUT SG ACC SBJ CAU,ketiriletterikse
23397,ni vap PRF DU ACC IMP MID,vaplashavotlumdo
25058,vo buvikzub FUT DU GEN IMP MID,buvivzubrulvunlemde
2664,bi zufpe PRF DU DAT SBJ MID,zufpeleshevekelumsa
8511,nar baka PST PL NOM IND ACT,bakatokon
5148,mun rada PRS SG GEN SBJ MID,radanunlemse
7790,vud miletut PST DU GEN IMP ACT,miletuttogvundo
11311,ve puso HAB DU NOM IND PAS,pusozurvanaf
19043,rug mosu FUT DU NOM IND CAU,mosurulvatrug
10784,ba diseso PRF PL DAT IND ACT,disesonashonka
22246,gid zabeb FUT SG ACC SBJ PAS,zabebriletnifse
3268,pef lumimbuv PRF PL DAT SBJ MID,lumimbuvnashonkalumsa
15947,gaf pada PST DU NOM IMP PAS,upadatogvanaldo
14977,tep mapukko HAB SG ACC IND CAU,mapukkoturottog
14474,vim tepele PRS DU ACC IMP ACT,tepelenevedde
28694,mes ponbu HAB PL GEN IMP MID,ponbuturonunlemde
14054,kak dovu PRS SG NOM IMP PAS,dovanavdo
26545,ba desoda FUT PL GEN IMP ACT,desodarulonundo
14980,gi saso PRS SG DAT IMP CAU,sasakatogdo
17636,pu fimed PRF PL ACC IMP ACT,fimedneshenedde
3931,ro sobvus HAB PL ACC IND PAS,sobvuzduronotnaf
8387,mun pufovu PRS SG NOM IND MID,pufovanalem
8028,no puzzo HAB DU ACC SBJ CAU,nutredirvettikse
9482,dip voro FUT DU GEN IMP CAU,vororulvuntarugdo
22572,mun bok FUT DU GEN SBJ CAU,bokanrulvuntaruksa
15107,pik lemu PST SG ACC IND ACT,lemutokot
3673,no zufpe PRF SG NOM SBJ PAS,zufpeneshenefse
21388,zef gettoge HAB DU ACC SBJ MID,gettogetirvetlimse
5937,zev pavebne FUT DU ACC IMP MID,pavebnerilaetlimde
27033,rug podupge HAB PL GEN SBJ CAU,podupgedirenintikse
29271,gu bev PST DU GEN IND MID,beftegvinlam
21880,zut pezlorid FUT PL DAT IMP CAU,pezloridrilenketrigde
6508,vim duz PRF SG NOM IND MID,duzzannashalum
21457,vum fane HAB SG GEN IMP MID,fanendirinlimde
20071,pef ninefef PRS SG DAT SBJ MID,ninefefekelimse
27012,gis tilone PRF PL ACC SBJ CAU,tiloneneshenettifse
10092,di dinim HAB DU NOM IND ACT,dinimzirve
22567,zer pebmi HAB DU ACC IMP ACT,pebmidirvedde
12976,mis sitkifge HAB SG ACC SBJ MID,sitkifgetiretlimse
3813,to dongobu PRF PL GEN SBJ CAU,dongobunkshonuntofsa
7337,tep nizizam PRF PL ACC IND ACT,nizizamnashonot
24483,ki bupe PRS SG NOM IMP MID,bupelimde
19592,som marago PRS DU DAT IND PAS,margganavakamaf
5121,zut lemu HAB DU GEN IND ACT,lemuturvun
14905,vus nuro HAB DU NOM IND CAU,nuroturmatog
8223,gi nesiv FUT DU GEN SBJ MID,nesivrilvinlimse
2868,zut pikkabog FUT PL ACC IMP MID,pikkabogrulonotlemde
2342,re mezmaf PRS DU DAT IMP PAS,mezmafavakanavdo
8832,lam zavu PRF DU GEN IND CAU,zavannashavuntov
7932,var kurovan PST SG NOM IMP ACT,kurovantogdo
16557,ki goloven PRS SG NOM IMP CAU,golovenetigde
20604,fo dekam HAB PL GEN IMP PAS,dekamduronunnavdo
12983,taf fulli PRS DU ACC IMP PAS,fullevetnevde
3014,rog fumbegba FUT DU DAT SBJ MID,fumdegbarulvakalemse
27331,mun tepes FUT SG DAT IMP CAU,tepesenrilketrigde
12124,soz lazmo PRF SG GEN SBJ CAU,lazmonashuntofsa
3752,di leti HAB PL ACC SBJ MID,letizirenetlimse
27387,se sutel PRS SG GEN IMP PAS,sutelinnevme
