sample_id,source,target
0,ve dibnasle PRF SG GEN SBJ MID,dibnasleleshinlumsa
1,sa ruptur FUT SG DAT IMP MID,rupturrulkalemde
2,gig rom PST DU DAT IND CAU,romtogvakatog
3,sod ses FUT SG NOM SBJ MID,sesrillimse
4,mar dizsin HAB PL DAT IMP MID,dizsindirenkelimde
5,kig tilone HAB DU ACC SBJ PAS,tilonedirvetnefse
6,zut butuf HAB DU ACC IND MID,butufturvotlem
7,zut lumfu FUT SG ACC SBJ PAS,lumfurulotnufsa
8,di vuvilras PRF SG GEN IND PAS,vuvilraslashunnaf
9,var fal PRS SG ACC SBJ MID,falotlemse
10,su dozug PST PL NOM IMP ACT,dozukgokondo
11,pu gar PRF SG DAT IND MID,garnashakalum
12,ruk sazsonu PRS DU GEN IND PAS,sazsonavunnaf
13,sa mudki PRS DU ACC IND MID,mudkevetlim
14,zut lompulov PST SG DAT IND PAS,lompuloftokkanav
15,reg pebmi PRF DU DAT IMP ACT,pebmineshevegde
16,pu timmuna PRF PL NOM IMP MID,timmunanashonlumdo
17,te butral PST PL NOM SBJ MID,butralsokonlamsa
18,ru monod FUT DU ACC SBJ PAS,monodrulvotnufsa
19,fu nugtube FUT DU DAT IND CAU,nugtzberilveketrig
20,vaz luzfod FUT SG GEN SBJ ACT,luzfodrulunsa
21,li merzoffo PST SG DAT IMP MID,merzoffosokkalamdo
22,kak puzzo HAB DU DAT IMP ACT,puzzoturvakado
23,lu nubnum PRF DU DAT IMP MID,nubnumnashavakalumdo
24,zef dubmipki PRF DU GEN SBJ CAU,dubmipkineshevintifse
25,kig doba FUT DU NOM IMP MID,dobarulvalemde
26,se pellun PST PL GEN IND MID,pellansokonunlam
27,gis fegine PRF DU ACC IND MID,fegineneshevetlum
28,le nilirdi FUT PL ACC SBJ PAS,inilirdirilonifse
29,reg lubopfo PST PL ACC IND PAS,lubopfutokonotnav
30,soz kitbe PRF DU DAT SBJ PAS,kitbenesfevekenefse
31,lug fuzi PST PL NOM SBJ MID,fmzetekenlamsa
32,zer zuvaz PRS DU GEN IND ACT,zuvazavun
33,gu duf PST PL GEN SBJ MID,duftokonunlamsa
34,gof vefovuv PRS PL ACC IMP MID,vefovuvonotlemde
35,kig tepele PST DU DAT SBJ MID,tepeletegvekelamsa
36,zun tubego HAB PL ACC IMP PAS,tubeganduronotmavdo
37,mo lake HAB PL DAT IMP MID,lakedirenkelimde
38,rug zaba FUT DU ACC IMP PAS,uzabarulvotnuvdo
39,po nivi HAB PL GEN IND CAU,nividirenintig
40,pil vap HAB PL ACC IMP MID,vabdurinotlemde
41,tot fevive PRF DU DAT SBJ CAU,fevivenesheveketifse
42,zev repnabi FUT PL NOM IND PAS,repnabirilennif
43,gar goniso PRS DU NOM SBJ PAS,gonisavanafsa
44,vud difuto FUT DU ACC SBJ ACT,difutorulvotsa
45,te mudki HAB SG NOM SBJ CAU,gudkizirtikse
46,gar povev PST DU DAT SBJ CAU,poveftegveketikse
47,ror forko PRF PL NOM IMP ACT,forkonasiondo
48,zun lumfu FUT SG DAT IND PAS,lumfanrulkamuf
49,saf vap HAB DU NOM SBJ CAU,vapturvatoksa
50,vi gena FUT SG NOM IMP ACT,genaruldo
51,rug bodfa HAB SG NOM SBJ PAS,bodfadurnafsa
52,te nogu FUT SG GEN IMP CAU,noguruluntarugdo
53,ko torvofam PRS SG ACC IND PAS,torvofamotnaf
54,vo din HAB PL ACC SBJ CAU,sindirenettikse
55,gid puso FUT SG NOM IND MID,busorpllem
56,zun duz FUT PL DAT IMP CAU,tuzanrulonkatrugdo
57,ved duz PRF DU GEN IMP MID,duzzanashavunlumdo
58,mes pavebne PRF DU NOM IND MID,pavebneneshevelum
59,su zumi HAB DU NOM IND MID,zumidirvelim
60,be goloven FUT PL GEN IND CAU,golovenrileninterig
61,da fariv PRS PL NOM IMP ACT,farivende
62,vus rozavi FUT PL DAT IND CAU,rozavirilenketrig
63,lug dizad FUT DU DAT SBJ PAS,tizadrulvakanufsa
64,po muza FUT SG GEN SBJ MID,muzarulunlemse
65,seb kalugvo FUT SG GEN IMP CAU,kalugvoruluntarugdo
66,saf bulte PST DU ACC SBJ CAU,bultetegvettikse
67,rer tibipep HAB PL NOM IND CAU,tibipebdirentig
68,vus ronnari FUT DU DAT IMP MID,ronnarirtlvekelimde
69,ror zaba FUT DU NOM IMP PAS,uzabarulvanuvdo
70,gof tido PRS DU DAT SBJ ACT,tidavakasa
71,fid vap PST SG GEN IND PAS,vaptokunnav
72,fo binen PRF SG ACC IMP CAU,binenneneshettivde
73,sod rartisuv PRS SG DAT IMP MID,rartisuvakalemde
74,vu binen FUT SG GEN SBJ ACT,pinenrilinse
75,kut bini HAB SG GEN IND ACT,binitirin
76,vum keris PST SG DAT IMP MID,kerisentekkelamdo
77,pu leba HAB PL GEN SBJ ACT,lebaduronunsa
78,fu deke HAB DU GEN IMP PAS,dekedirvinnevde
79,rus tepele PRF DU GEN IND PAS,tepeleneshevinnef
80,sa nikor FUT DU GEN SBJ MID,nikorrulvunlemse
81,ni zake FUT SG ACC IMP ACT,zakeriledde
82,su rero PRF DU ACC IMP MID,reronashavotlumdo
83,sa pezvilru PRS PL DAT IMP MID,pezvilronkalemde
84,dar pavu PRF SG GEN IND MID,pavunashunlum
85,rer gine PRF SG DAT SBJ ACT,gineneshekese
86,dip divi PRS PL DAT SBJ MID,divenkelimse
87,ka mavifap PRS DU GEN IMP ACT,mavifapavundo
88,ve baka PRS DU NOM IMP CAU,bakavatogdo
89,vim kitbe FUT SG ACC SBJ ACT,kitbenriletse
90,vo biva FUT SG GEN IMP PAS,bivarulunnuvdo
91,na pori PRS DU GEN IMP CAU,porevintigde
92,reg tit FUT DU NOM IND CAU,titrilvetrig
93,vum fusdeb HAB DU DAT IND MID,fusdebendirvekelim
94,sod gakupgak HAB SG ACC IND ACT,gakupgagdurot
95,zev pamudo HAB DU DAT IND PAS,pamudodurvakan
96,vud sulu PRF DU DAT IMP MID,sulunashavakalumdo
97,zop kigifo FUT SG DAT SBJ MID,kigiforulkalemse
98,re vifutvap PST SG DAT IND CAU,vifutvapsokkatog
99,kut dapizdam PRF SG GEN SBJ PAS,dapizdammanashunnafsa
100,ne tomise FUT DU NOM IMP CAU,tomiserilvetrigde
101,ror kovu FUT DU GEN IND ACT,kovurulvun
102,gu sazsonu PRF SG ACC SBJ CAU,sazsonunashottofsa
103,ne nimami PRS SG NOM SBJ PAS,nimamenefse
104,gaf tipimuk PST DU GEN IND MID,tipimuktogvunlam
105,mun bargu PST DU NOM IMP CAU,borgantogvatogdo
106,ka petu PRF DU GEN IMP PAS,petuntshavunnavdo
107,mo fulli FUT DU NOM SBJ CAU,fullirtlvetrikse
108,nar nutne PRF DU NOM IMP MID,nutneneshevelumdo
109,vim vukun PRS PL NOM SBJ PAS,vukunanonmafsa
110,vaz kafesel FUT DU GEN SBJ PAS,gafeselrilvinnifse
111,le dusim FUT DU ACC IMP CAU,dusimrilvetterigde
112,mo vegbun PRS SG GEN IND MID,vegbununlem
113,rog suvkotab PST DU GEN SBJ CAU,suvkotaptogvuntoksa
114,fiz difuto FUT PL DAT IMP CAU,difutorulonkatrugdo
115,gid guva PRF PL DAT IMP PAS,guvanashonkanavdo
116,su mubfi PRS PL ACC IMP CAU,mubfenetigde
117,pom fonesel PRS SG ACC IMP PAS,foneselenetmevde
118,pil rafufga PRF DU DAT IND MID,rsfufganashavakalum
119,lu vegbun HAB SG ACC SBJ PAS,vegzundurotnafsa
120,ved losif HAB SG ACC SBJ PAS,losivdiretnefse
121,gis kogzi PST SG NOM IND ACT,kogzetek
122,di rombo PST PL DAT IMP ACT,rombosokonkado
123,rug divi PRS PL GEN IMP CAU,divenintigde
124,fid veksel HAB DU NOM IND CAU,vekseldirvetig
125,mis kogzi PRS SG NOM IMP ACT,kogzede
126,saf dibnasle HAB DU NOM IMP PAS,dibnasletirvenevde
127,vud letavir HAB SG ACC IMP PAS,iletavirdiretnevde
128,zev rupokdu PST SG GEN IMP PAS,rupokdutokunnavdo
129,tel saras PRF PL GEN IMP PAS,sarasnashonunnavdo
130,di pemkusa HAB SG NOM IMP PAS,pemkusazurnavdo
131,ror dunsu PRF DU GEN IMP ACT,dunsunashavundo
132,taf bezul PRF SG ACC IMP PAS,bezulnashotnavdo
133,zop likbe FUT PL NOM IMP CAU,likberilenterigde
134,pef pekla PRS DU GEN SBJ ACT,peklavunsa
135,gis nogu FUT DU DAT SBJ ACT,nogurulvakasa
136,tel pegre PRF SG NOM SBJ PAS,pegreneshenefse
137,pef kovu PRF SG DAT IMP PAS,kovunashakanavdo
