candidate_id,category,cf_1,cf_2,cf_3,cf_4,cf_5,cf_6,popularity
0,6,0.0901,0.0827,-0.2584,1.1835,-0.5054,-1.3568,0.318
1,19,-1.5817,0.079,1.0607,0.2375,-0.3174,0.4584,0.5797
2,14,0.1862,0.8262,1.3265,-0.9544,-2.3396,-0.3515,0.3456
3,10,-1.0193,0.832,-0.7243,-1.8758,-0.5742,-1.492,0.8158
4,7,1.5902,0.4716,0.6476,0.536,0.8402,1.1333,0.4667
5,6,-0.5397,-1.42,-0.8469,-0.0452,-2.5643,1.1427,0.0767
6,18,-1.8967,0.5991,-0.1681,0.2852,-0.4719,0.2172,0.1661
7,10,-0.4719,-0.5562,-0.8972,1.5258,0.3669,0.2095,0.0611
8,10,-0.8756,-0.2348,-0.9872,-0.4912,-1.2091,1.5891,0.4993
9,3,-0.7569,-0.8751,-1.3256,-0.7712,-0.4949,-0.0495,0.1063
10,7,-0.6453,-1.6006,-1.5146,0.6797,-0.1228,0.6489,0.1141
11,2,0.7803,0.1511,-1.2317,0.1896,1.3996,-0.4474,0.941
12,1,0.3406,-0.0138,1.3724,-0.6778,1.1535,-0.375,0.8727
13,11,-0.6941,0.1099,0.3425,1.9115,0.3195,0.1933,0.4521
14,5,1.5961,0.6011,-0.6443,1.356,-0.7396,-0.6492,0.9858
15,1,-0.8485,-0.9362,0.3332,-0.2579,-3.4782,-0.2683,0.0002
16,0,-0.5179,0.8928,-0.5633,2.5393,1.3968,-0.3899,0.614
17,11,1.1496,0.5252,0.2335,0.8027,0.0541,0.2404,0.6164
18,11,0.8234,2.0525,0.2512,-0.4538,-2.0292,1.9613,0.4574
19,16,-0.2632,0.5348,1.9059,0.2276,-0.1947,1.4197,0.3969
20,9,0.4607,0.5861,-1.5232,1.2059,0.3756,-1.3716,0.4554
21,15,0.4851,-2.0625,2.342,-1.1019,1.6118,-0.813,0.415
22,14,0.5602,-0.9121,0.9971,-0.2353,0.4678,0.0151,0.7305
23,14,-1.3657,0.5041,-0.5032,1.0453,-0.2359,-0.0768,0.1354
24,18,1.6829,2.3816,0.786,-0.2871,-0.3747,-0.8187,0.1976
25,11,-0.6252,-0.2736,1.9643,-0.1972,-1.2261,0.0417,0.1805
26,19,0.1781,0.0356,0.7997,0.069,0.7687,-0.7803,0.2625
27,2,1.7807,0.2525,0.4002,-0.7845,0.4718,0.6511,0.5253
28,4,-1.1698,-1.6591,0.2937,-0.4888,0.2599,-1.291,0.1112
29,18,-1.5605,0.2067,-0.3498,-2.1107,1.3431,-1.3077,0.8682
30,6,2.5733,-0.624,0.4016,1.6469,1.4794,1.9861,0.2974
31,8,-1.5231,-1.1359,0.226,0.8397,-0.0112,-1.638,0.1625
32,6,0.4966,-0.1943,-0.2062,-2.278,0.7975,0.1452,0.6756
33,17,1.7952,-0.0745,0.5663,0.8318,-1.7462,2.6167,0.0381
