session_id,selected_candidate_id
0,250
1,130
2,459
3,486
4,417
5,497
6,87
7,3
8,280
9,281
10,434
11,256
12,297
13,3
14,140
15,143
16,421
17,174
18,144
19,139
20,490
21,1
22,106
23,490
24,274
25,42
26,62
27,244
28,156
29,221
30,389
31,421
32,417
33,251
34,341
35,55
36,60
37,344
38,106
39,209
40,372
41,215
42,474
43,410
44,119
45,19
46,214
47,431
48,278
49,465
50,140
51,488
52,483
53,189
54,334
55,272
56,402
57,419
58,428
59,469
60,301
61,474
62,417
63,319
64,201
65,339
66,330
67,389
68,1
69,339
70,35
71,74
72,357
73,466
74,375
75,354
76,293
77,75
78,69
79,281
80,18
81,473
82,427
83,60
84,81
85,405
86,458
87,455
88,289
89,218
90,25
91,216
92,168
93,338
94,126
95,2
96,54
97,271
98,56
99,30
100,379
101,452
102,108
103,288
104,437
105,265
106,32
107,493
108,124
109,441
110,164
111,486
112,384
113,77
114,331
115,63
116,186
117,335
118,24
119,268
120,229
121,237
122,252
123,415
124,139
125,448
126,66
127,406
128,3
129,363
130,63
131,161
132,108
133,494
134,460
135,493
136,149
137,200
138,17
139,460
140,469
141,468
142,340
143,62
144,54
145,168
146,88
147,465
148,156
149,452
150,69
151,465
152,255
153,284
154,70
155,386
156,158
157,44
158,46
159,349
160,439
161,153
162,343
163,262
164,246
165,288
166,495
167,57
168,13
169,476
170,362
171,361
172,119
173,66
174,100
175,450
176,298
177,131
178,25
179,353
180,227
181,211
182,203
183,244
184,340
185,365
186,25
187,343
188,421
189,17
190,280
191,290
192,122
193,76
194,473
195,479
196,225
197,494
198,440
199,30
200,343
201,243
202,261
203,166
204,375
205,60
206,85
207,367
208,36
209,83
210,201
211,126
212,242
213,445
214,51
215,57
216,89
217,397
218,243
219,429
220,324
221,362
222,325
223,205
224,11
225,35
226,435
227,52
228,296
229,47
230,137
231,136
232,82
233,230
234,327
235,361
236,444
237,147
238,154
239,11
240,167
241,48
242,105
243,198
244,490
245,114
246,77
247,454
248,297
249,63
250,180
251,454
252,37
253,313
254,229
255,260
256,428
257,80
258,471
259,455
260,105
261,384
262,183
263,25
264,174
265,410
266,428
267,261
268,332
269,285
270,438
271,60
272,273
273,252
274,195
275,450
276,56
277,402
278,323
279,388
280,439
281,325
282,188
283,455
284,477
285,320
286,356
287,426
288,456
289,204
290,203
291,263
292,495
293,340
294,112
295,401
296,279
297,433
298,434
299,354
300,140
301,96
302,161
303,225
304,20
305,288
