source_idx,source_name,is_adversarial,is_copycat,parent_source
0,Source-A1,False,False,
1,Source-A2,False,False,
2,Source-A3,False,False,
3,Source-B1,False,False,
4,Source-B2,False,False,
5,Source-B3,False,False,
6,Source-C1,True,False,
7,Source-C2,False,False,
8,Source-C3,False,False,
9,Source-D1,False,False,
10,Source-D2,False,True,Source-I2
11,Source-D3,False,True,Source-I3
12,Source-E1,False,False,
13,Source-E2,False,False,
14,Source-E3,False,False,
15,Source-F1,False,False,
16,Source-F2,False,False,
17,Source-F3,False,False,
18,Source-G1,False,False,
19,Source-G2,True,False,
20,Source-G3,False,False,
21,Source-H1,False,False,
22,Source-H2,True,False,
23,Source-H3,False,True,Source-I1
24,Source-I1,False,False,
25,Source-I2,True,False,
26,Source-I3,True,False,
27,Source-J1,False,False,
28,Source-J2,False,False,
29,Source-J3,False,True,Source-A1
