item_id,feature_a,feature_b,feature_c,group,level,score_x,score_y,buzz
0,-0.517,0.419,-0.549,13,2,0.416,-0.981,-0.015
1,0.438,-0.24,0.072,12,3,-0.216,-0.728,1.579
2,-0.107,-0.415,-0.427,11,3,-0.187,0.743,-0.658
3,-1.237,-0.063,-0.741,18,2,0.11,0.546,0.814
4,0.043,-0.085,0.754,5,2,-0.835,0.249,-0.199
5,-0.15,-1.069,-0.157,9,2,0.036,-0.803,-1.003
6,-0.273,0.31,0.088,9,3,-1.776,-0.102,0.001
7,-0.441,0.325,0.387,12,0,-0.673,0.027,0.692
8,1.103,-0.038,-0.128,13,2,0.751,-0.083,1.354
9,-0.86,0.504,-0.512,11,3,0.098,0.429,1.475
10,0.659,0.99,0.047,9,2,0.47,-0.415,-0.295
11,-0.037,0.749,1.248,10,2,-0.95,0.063,-0.987
12,-0.505,0.503,-0.015,12,2,0.659,-0.353,-0.319
13,0.43,0.246,0.439,6,3,0.035,-0.224,-1.182
14,-0.102,-0.748,0.09,11,3,0.044,-1.551,-0.217
15,-0.012,-0.007,-0.042,19,3,1.441,-0.735,-0.342
16,-0.032,0.545,-0.406,10,1,0.301,0.439,0.727
17,0.141,-1.106,-0.174,12,2,-0.537,-0.598,-2.206
18,0.126,-0.556,0.736,8,1,-0.02,0.672,-0.734
19,-0.581,0.823,-0.797,9,2,0.57,-1.771,-0.726
20,-0.159,-0.665,0.296,5,2,0.437,-0.104,1.187
21,-0.192,-0.298,0.512,10,3,-0.276,-0.378,-1.114
22,-1.742,-0.507,-0.176,6,3,-0.85,0.46,0.227
23,-0.414,0.222,0.026,7,3,0.05,-0.796,-0.128
24,0.386,0.29,0.513,11,4,-0.68,1.318,1.043
25,-0.391,-0.211,0.519,8,2,0.205,-0.252,0.596
26,-0.029,-0.442,0.079,11,3,0.507,-0.006,0.121
27,0.547,0.225,-0.17,10,3,-0.735,0.157,-0.555
28,0.173,0.129,0.668,14,4,-0.649,0.578,-1.852
29,0.528,-0.211,0.229,13,2,0.968,0.048,0.247
30,0.355,0.524,0.3,12,2,-0.711,-0.288,0.53
31,0.666,-0.157,-0.754,9,3,-0.114,-0.29,-1.575
32,0.156,-0.217,-1.203,14,2,0.256,-0.774,-1.234
33,-0.026,1.6,0.274,10,2,-0.809,0.342,0.252
34,0.522,-0.334,0.343,13,2,0.727,1.322,0.339
35,0.073,-0.319,1.147,9,3,0.036,-0.864,-0.991
36,1.16,-0.713,0.23,10,4,-0.756,-0.466,-0.574
37,-1.015,-0.185,-0.687,11,3,0.947,0.915,-1.836
38,-0.77,0.197,-0.693,15,4,0.455,-0.841,1.377
39,0.233,0.052,-0.488,10,2,0.17,-0.142,-1.3
40,-0.366,-0.392,-0.374,13,2,-0.266,-0.963,0.542
41,-0.43,-0.136,1.212,11,3,-0.342,0.816,-0.035
42,-0.041,1.069,0.271,13,1,0.856,0.486,1.29
43,-0.824,-0.909,-0.355,11,4,1.196,0.835,-0.792
44,-0.523,0.303,-0.288,9,0,-0.44,-1.243,0.061
45,-0.25,-0.517,-0.045,7,2,-0.113,-0.526,-1.698
46,-0.372,-0.422,-0.105,7,2,-0.511,1.767,-1.939
47,-0.241,0.434,-0.005,11,3,0.817,-0.475,0.596
48,-0.121,-0.652,-1.028,14,3,-0.17,-0.33,-1.785
49,1.768,0.95,-0.16,9,1,-0.425,-0.454,-0.228
50,-0.779,-0.861,0.698,12,1,0.686,-0.319,1.011
51,1.257,0.249,-0.549,10,2,-0.392,-0.206,0.747
52,0.591,-0.035,-1.441,15,0,-1.094,0.541,-0.665
53,0.543,-0.103,-0.58,7,2,0.681,-0.105,-1.589
54,0.312,0.492,-0.016,12,2,0.868,-0.694,0.509
55,-0.817,0.27,-0.279,7,3,-0.711,0.044,1.342
56,-0.711,0.325,-0.376,11,3,-0.302,-0.349,-0.662
57,0.096,1.227,-1.767,10,3,0.313,-0.685,-0.803
58,0.52,-0.177,-0.015,12,2,-0.634,0.092,-0.525
59,0.613,-0.62,0.174,15,3,-0.64,-0.365,0.572
60,-0.299,-0.352,-0.275,13,1,-0.144,0.615,1.229
61,-0.431,-0.54,0.496,11,1,0.326,-0.731,-1.24
62,0.253,0.992,0.211,10,2,-0.827,0.172,-1.498
63,-0.235,-0.29,0.09,6,2,0.896,0.709,2.34
64,-0.297,0.397,0.094,9,3,1.764,0.263,-0.177
65,0.459,0.23,-0.6,9,1,0.419,1.641,0.253
66,0.243,-0.283,0.513,11,2,-0.342,0.54,-0.692
67,1.238,0.396,0.423,8,1,-0.157,-0.438,0.49
68,-0.713,0.08,-0.068,8,2,-0.274,-0.187,0.96
69,-1.185,-0.981,-0.125,16,2,-0.099,1.23,0.3
70,-1.451,-0.144,-0.219,11,3,-0.325,0.397,1.741
71,1.978,0.359,0.239,9,2,0.166,0.008,-0.327
72,-0.087,-0.318,0.43,10,1,-1.017,-0.058,-0.263
73,0.733,-1.192,-0.228,9,1,0.49,-0.419,0.231
74,0.576,0.368,0.277,7,2,0.465,-1.352,0.465
75,0.004,0.01,0.805,12,1,0.168,-0.462,0.228
76,-0.773,1.444,0.534,10,3,-0.114,0.054,-1.284
77,-0.3,1.094,0.07,11,0,-0.415,-0.598,0.313
78,0.094,0.133,-0.761,12,2,0.814,-0.212,-0.374
79,0.203,-0.471,0.257,5,1,0.893,0.843,-0.581
80,0.024,0.068,-0.06,10,2,-1.063,0.142,0.032
81,0.021,0.82,-0.698,12,4,1.427,0.115,-0.962
82,-0.183,0.35,0.334,9,2,0.425,-1.176,-1.135
83,-0.703,-1.137,-0.613,12,1,0.879,-0.014,-2.615
84,-0.794,0.333,-0.354,12,4,-0.012,-0.199,1.747
85,-0.268,0.994,-0.586,16,2,0.574,-0.289,0.556
86,0.474,-1.014,-0.408,9,3,0.927,-0.325,-0.117
87,0.568,-0.387,0.697,14,4,0.061,0.123,-0.667
88,0.36,0.133,0.002,7,1,0.934,0.114,-2.876
89,0.204,-0.221,0.759,8,3,1.267,-0.557,-0.729
90,0.253,-0.475,0.386,8,2,-0.167,-0.39,0.716
91,0.404,-1.646,-0.316,7,2,-0.565,1.093,0.942
92,1.359,-0.222,-0.222,15,4,-0.175,-0.353,0.642
93,-1.398,-0.462,-0.396,8,2,0.24,0.217,0.158
94,0.525,-0.372,-0.023,12,0,-0.071,0.221,1.304
95,-0.169,1.162,-0.126,9,1,-0.057,-0.216,-0.329
96,0.454,-0.089,-0.377,12,4,-0.522,-0.176,1.085
