query_id,user_id,time_slot,device_code,day_type,referral_code,session_length,entry_point,candidates,chosen_item_id
0,11,5,1,0,5,27,0,675|497|745|671|531|376|10|396|145|173,531
1,170,4,1,2,3,93,4,608|102|770|612|367|119|503|618|53|458,608
2,332,1,3,1,4,68,1,546|284|559|113|729|644|634|144|145|335,644
3,299,5,0,2,6,56,2,244|316|308|787|757|682|109|723|661|114,757
4,11,4,0,0,7,20,1,71|539|360|561|323|270|41|671|52|134,52
5,370,0,2,1,2,25,0,516|363|770|700|430|661|725|769|697|651,770
6,235,3,1,1,5,33,4,679|235|524|217|610|522|194|320|674|153,235
7,209,2,2,2,2,60,0,176|177|770|162|117|215|378|660|783|632,176
8,183,0,2,2,3,96,4,470|552|473|107|766|605|164|50|249|214,249
9,287,0,0,2,0,32,3,632|624|160|262|708|795|764|241|650|769,708
10,33,4,3,2,3,51,4,379|749|537|425|70|134|291|659|397|120,134
11,154,1,1,2,1,15,0,126|243|566|153|594|627|11|322|328|120,328
12,176,2,3,1,6,109,0,37|279|235|499|154|357|621|610|532|744,357
13,343,0,1,0,9,34,1,59|660|631|338|15|567|713|301|405|568,15
14,278,5,1,0,5,44,3,708|418|737|309|798|193|339|249|395|126,249
15,352,0,1,2,7,55,4,193|144|553|11|314|328|180|635|344|745,11
16,94,3,1,0,0,120,4,136|25|188|707|12|49|714|337|155|360,360
17,339,5,1,0,0,71,1,319|518|796|249|189|136|630|213|700|763,796
18,312,5,2,2,4,95,2,735|22|670|317|221|85|315|448|117|245,22
19,317,5,0,1,3,58,4,422|455|373|746|668|329|46|277|660|176,746
20,383,2,3,1,3,26,3,321|233|252|310|681|497|210|175|209|191,233
21,194,1,1,1,9,100,3,59|107|83|776|705|634|609|766|721|628,766
22,294,2,3,0,6,72,0,792|219|473|99|212|304|536|221|572|778,536
23,195,5,1,0,1,77,4,268|602|83|564|65|138|400|516|185|357,185
24,335,4,0,1,5,21,1,439|638|655|221|588|579|255|418|620|749,221
25,371,2,0,2,7,106,3,41|727|625|669|78|488|460|611|296|214,214
26,10,2,3,0,8,47,4,15|104|116|352|83|742|259|573|337|222,116
27,381,1,0,0,2,19,4,470|173|59|713|9|240|28|415|120|125,415
28,267,1,2,1,4,45,1,98|681|270|244|154|277|759|288|238|583,238
29,223,3,1,2,7,88,1,407|471|126|661|10|135|109|742|677|313,661
30,7,1,3,2,7,37,3,763|5|573|300|294|212|230|121|18|490,230
31,377,2,3,1,4,56,4,284|519|26|684|766|411|697|771|417|225,771
32,299,1,1,2,4,92,3,127|564|155|169|488|343|18|719|138|365,138
33,165,4,0,1,5,91,1,127|134|190|532|183|259|163|165|496|551,127
34,245,0,3,1,4,80,4,122|770|698|61|536|175|296|762|389|514,698
35,369,3,1,0,1,38,0,164|598|648|228|49|265|181|347|435|386,598
36,159,2,1,1,9,85,2,714|202|573|770|103|73|338|369|133|431,714
37,375,4,3,0,2,47,0,134|496|481|362|765|592|165|296|104|350,134
38,265,5,2,2,9,85,4,354|389|235|766|492|379|573|234|158|611,158
39,5,3,3,0,4,103,3,113|128|92|387|347|215|359|120|163|543,128
40,302,5,2,2,4,10,0,778|86|96|468|770|436|165|24|209|273,209
41,8,5,1,1,0,112,2,329|30|128|69|315|98|505|423|784|60,784
42,347,4,3,2,8,118,4,18|504|730|189|466|81|214|160|275|73,18
43,96,1,2,0,7,12,3,302|404|489|102|788|536|468|642|341|715,536
44,108,4,1,1,5,37,2,631|399|38|251|325|736|297|505|389|718,399
45,337,4,2,0,9,15,3,258|624|45|260|360|16|274|612|297|133,360
46,358,4,3,1,2,13,1,755|293|639|703|478|397|486|129|244|184,486
47,101,4,1,2,0,100,4,330|230|698|194|142|629|40|21|134|44,134
48,217,0,1,2,6,25,4,43|231|399|611|127|138|150|401|652|188,231
49,374,3,2,0,3,36,2,157|53|228|549|67|115|78|676|244|470,67
50,76,0,2,1,5,93,4,230|257|198|67|419|49|467|721|729|4,67
51,307,5,3,1,2,27,0,628|250|517|365|656|357|193|493|586|794,794
52,142,2,0,2,2,23,3,350|102|588|669|473|123|764|249|586|410,586
53,121,1,0,0,1,1,1,350|377|51|381|365|709|624|431|598|669,598
54,223,1,0,2,9,53,0,59|51|695|104|52|155|252|36|322|505,252
55,22,0,1,1,7,33,0,146|547|398|785|73|215|119|691|336|421,73
56,67,4,1,0,5,43,1,31|585|16|221|95|728|582|367|261|528,367
57,95,4,1,2,0,88,3,96|359|206|633|30|188|357|623|281|51,357
58,190,5,0,2,6,99,4,37|73|563|111|214|619|399|546|452|572,399
59,278,4,2,2,8,85,4,733|77|252|486|390|52|529|389|196|291,486
60,350,5,2,2,9,4,2,138|573|441|181|736|71|722|49|611|76,611
61,204,4,2,1,0,8,1,113|504|73|352|302|30|608|488|181|778,488
62,325,1,1,1,2,36,4,581|681|611|375|9|5|265|724|1|496,724
