user_id,affinity_1,affinity_2,affinity_3,segment,cohort,tenure_score
0,-0.268,1.217,-0.902,1,3,0.734
1,0.854,0.089,1.211,3,0,0.897
2,-0.408,0.851,-0.785,3,0,0.433
3,-0.727,-0.324,0.037,3,3,0.166
4,-0.934,2.002,-1.939,0,1,0.319
5,1.275,0.3,0.324,4,3,0.432
6,0.516,0.131,-0.786,3,3,0.714
7,0.505,-0.11,0.356,4,3,0.013
8,1.027,1.253,0.749,1,0,0.316
9,1.751,-0.915,1.271,0,0,0.78
10,0.996,0.077,-0.881,1,0,0.671
11,0.562,-1.582,1.247,4,0,0.732
12,0.503,-0.223,-0.154,5,2,0.812
13,-0.805,0.289,-0.991,5,3,0.783
14,0.972,-0.715,1.903,3,3,0.682
15,0.108,-0.664,1.912,5,0,0.44
16,-0.426,-2.291,1.498,1,1,0.984
17,0.559,0.271,-1.416,5,2,0.569
18,0.349,1.279,0.001,2,2,0.203
19,-0.739,-1.995,0.695,0,1,0.293
20,-0.227,0.708,-0.525,4,0,0.694
21,-0.434,0.563,-0.656,3,2,0.925
22,-0.009,1.583,0.483,1,2,0.179
23,-0.945,1.042,-0.585,0,3,0.082
24,-1.466,0.384,-0.48,3,3,0.882
25,-0.983,0.371,-1.05,1,0,0.915
26,-0.339,-0.104,0.744,5,0,0.276
27,0.586,0.752,0.754,4,3,0.377
28,0.599,1.069,-0.251,2,3,0.66
29,0.627,0.031,0.429,2,3,0.33
30,-1.496,1.111,-0.158,5,1,0.877
31,-1.353,2.449,-0.354,4,2,0.108
32,-0.872,0.134,-0.496,0,0,0.038
33,0.626,1.094,0.008,4,0,0.208
34,0.109,-0.179,0.654,5,1,0.286
35,-0.13,0.184,-1.664,1,3,0.113
36,0.938,0.169,0.247,0,2,0.066
37,-0.982,0.281,0.962,2,3,0.756
38,-1.148,0.229,-0.666,5,0,0.164
39,0.412,-0.129,-0.715,1,1,0.914
40,-0.523,0.533,0.771,5,2,0.368
41,0.412,-0.191,0.397,3,2,0.671
42,-0.375,-1.121,0.765,3,2,0.225
43,2.0,1.373,0.539,3,2,0.24
44,-1.728,1.726,-1.311,2,1,0.575
45,0.214,-0.09,0.108,4,0,0.561
46,0.767,0.182,1.054,0,2,0.769
47,-1.58,1.675,-0.795,2,2,0.758
48,-1.659,-0.343,-1.248,1,0,0.671
49,-1.083,0.967,0.112,1,3,0.449
50,0.509,-0.441,-0.384,3,2,0.891
51,0.693,0.219,-1.419,0,2,0.623
52,-0.108,0.741,0.779,3,3,0.99
53,0.087,-0.0,0.916,1,0,0.819
54,-1.064,0.192,-1.974,1,0,0.044
55,-0.167,-0.452,0.274,4,2,0.321
56,-0.758,0.707,-0.2,4,0,0.572
57,0.91,-0.487,-1.923,4,3,0.721
58,-0.831,0.086,0.804,3,1,0.55
59,0.309,-0.218,0.927,5,3,0.786
60,1.783,0.128,1.623,0,3,0.283
61,0.923,0.688,-0.547,4,1,0.184
62,-0.523,0.195,1.158,2,3,0.054
63,-1.613,1.452,-0.99,4,2,0.573
64,-0.238,1.39,-0.856,3,2,0.689
65,0.424,-0.903,-0.74,0,0,0.326
66,0.803,0.075,-1.703,4,0,0.614
67,0.816,0.564,0.924,0,3,0.052
68,-0.571,-0.543,-0.399,2,2,0.099
69,-0.9,-1.112,-2.594,1,2,0.702
70,-1.05,-0.988,0.355,0,1,0.368
71,0.261,-0.902,1.075,5,0,0.671
72,-1.306,-3.04,-1.226,4,2,0.832
73,0.545,-0.68,-0.751,3,3,0.853
74,0.848,-1.528,0.844,5,2,0.172
75,0.823,0.812,-1.556,5,0,0.486
76,-1.062,0.366,-0.132,3,3,0.734
77,-0.303,0.434,0.097,3,0,0.774
78,0.065,-0.025,0.043,3,2,0.785
79,0.386,0.506,-1.086,5,2,0.228
80,-0.035,-0.657,-1.41,0,2,0.193
81,-0.79,1.08,-2.091,3,0,0.59
82,-0.004,-0.031,-0.015,1,3,0.741
83,0.086,0.876,0.435,5,2,0.319
84,-1.282,0.778,1.088,5,2,0.105
85,-1.055,0.569,-0.381,5,2,0.717
86,-0.453,0.392,0.204,2,1,0.3
87,1.097,0.086,-0.261,0,1,0.166
88,-0.792,0.689,-2.91,0,3,0.148
89,1.249,0.598,1.301,3,0,0.315
90,-0.704,0.06,0.015,5,2,0.593
91,0.861,-0.312,-0.226,5,2,0.358
92,0.581,0.565,-0.674,3,0,0.021
93,-1.602,0.366,0.385,0,0,0.097
94,-0.929,0.863,1.255,3,3,0.291
95,0.118,-1.306,-0.188,3,0,0.66
96,-0.307,-0.35,0.605,3,2,0.099
97,-0.429,-0.685,1.462,3,3,0.561
98,0.992,-0.272,-0.738,3,1,0.12
99,-1.334,0.525,0.443,4,3,0.212
100,-0.205,-1.254,-0.075,4,3,0.172
101,-0.329,-0.703,0.21,5,3,0.067
102,-1.863,-0.081,0.995,5,0,0.671
103,0.45,-0.945,-0.812,4,2,0.463
104,-1.108,0.204,0.304,0,0,0.831
105,0.27,-0.532,-0.42,2,2,0.099
106,1.13,1.653,3.132,0,0,0.145
107,0.002,1.173,1.484,5,3,0.306
108,0.802,1.069,-0.063,4,2,0.766
109,-0.327,-0.203,1.018,0,0,0.306
110,-0.565,0.024,0.973,2,3,0.408
111,-0.497,0.235,0.48,3,1,0.302
112,1.216,-0.606,-1.179,1,0,0.08
113,0.405,-0.601,-1.319,4,0,0.939
114,0.542,-0.273,0.495,4,1,0.549
115,0.638,-0.747,-0.247,2,0,0.788
116,-0.428,0.309,-0.621,3,1,0.658
117,-0.035,0.462,0.917,3,2,0.514
118,0.853,0.48,1.183,1,1,0.09
119,-2.117,1.215,-0.967,3,3,0.643
120,0.542,1.021,0.559,2,1,0.155
121,1.275,1.487,-0.785,5,2,0.414
122,-0.641,-0.267,-2.151,3,1,0.629
123,0.812,1.16,0.125,5,1,0.782
124,-1.397,0.55,-0.16,5,2,0.685
125,0.265,0.534,-1.751,2,0,0.672
126,0.027,-0.356,1.09,4,0,0.149
127,0.129,-0.052,1.018,4,3,0.346
128,-0.167,-0.139,-0.478,4,3,0.043
129,0.008,-1.256,-1.71,0,1,0.719
130,-1.902,-0.751,-0.999,4,0,0.953
131,0.618,-0.514,1.373,2,0,0.264
132,-0.786,-1.432,0.363,1,1,0.088
133,0.629,-0.679,0.958,3,2,0.476
134,0.892,0.808,0.696,4,0,0.857
135,-0.726,0.248,-0.13,0,3,0.552
136,0.094,-1.587,0.873,5,1,0.047
137,0.287,-0.48,0.978,0,2,0.974
138,1.102,1.195,-0.564,2,3,0.829
139,-1.37,1.106,-0.981,1,0,0.132
140,-0.729,0.133,-2.018,4,2,0.922
141,-1.645,1.017,-1.392,4,3,0.451
142,0.476,-0.718,1.027,0,1,0.372
143,-0.88,0.041,-0.326,2,2,0.461
144,-0.407,-1.559,1.04,0,2,0.835
145,1.796,0.723,1.52,0,1,0.659
146,-0.664,-0.357,0.315,1,0,0.059
147,-0.585,-1.206,-0.423,2,0,0.958
148,0.01,0.37,0.93,1,2,0.148
149,0.06,0.503,0.032,2,2,0.746
150,2.034,1.02,-0.698,4,2,0.636
151,-1.011,1.762,-0.003,3,3,0.188
152,0.136,0.411,-1.718,5,2,0.171
153,1.563,0.026,-0.081,3,0,0.87
154,0.405,-1.14,-0.808,2,1,0.42
155,0.195,-0.496,1.038,3,1,0.655
156,-1.317,0.525,-0.378,0,1,0.504
157,1.039,-1.464,0.277,4,2,0.727
158,1.127,-0.297,1.139,5,2,0.479
159,-0.847,-0.096,-0.263,5,1,0.287
160,-0.714,0.566,-1.035,5,3,0.363
161,-1.148,0.896,0.39,4,3,0.859
162,-2.745,-0.287,-2.167,3,3,0.468
163,-1.365,0.021,0.162,5,3,0.213
164,-0.099,0.67,0.292,5,0,0.935
165,0.006,-0.003,0.638,2,1,0.797
166,0.118,-0.442,1.704,0,0,0.056
167,1.476,0.465,0.387,2,2,0.999
168,0.445,-0.065,-0.185,3,3,0.695
169,-0.105,-1.337,-0.348,4,3,0.16
170,0.175,0.994,0.137,4,1,0.237
171,-0.075,-1.01,1.245,2,3,0.692
172,-0.019,-0.455,0.263,1,1,0.78
173,-0.764,0.152,0.619,2,2,0.239
174,0.141,0.259,-0.335,1,3,0.257
175,0.35,0.347,0.157,2,3,0.307
176,0.869,-2.142,0.423,1,0,0.598
177,0.585,-0.351,0.398,1,1,0.172
178,-0.19,0.379,-1.379,5,1,0.104
179,1.774,0.927,0.746,5,3,0.679
180,0.716,0.304,-0.307,1,0,0.779
181,0.087,0.007,0.128,1,3,0.501
182,1.56,0.3,-0.803,0,1,0.364
183,0.393,-0.372,-0.324,1,1,0.432
184,0.859,-0.219,-0.983,5,3,0.388
185,-1.329,1.382,-1.16,1,2,0.96
186,-0.08,0.871,-0.006,4,3,0.768
187,-0.837,0.135,0.481,0,0,0.208
188,0.449,0.478,0.587,1,1,0.384
189,1.836,0.885,-1.378,5,1,0.544
190,-1.369,-0.579,0.132,5,3,0.613
191,0.343,-0.537,0.316,3,2,0.468
192,-1.42,-1.141,-0.859,5,1,0.81
193,1.236,-0.095,-1.115,0,3,0.768
194,-1.119,-0.356,0.099,5,2,0.505
195,0.213,-0.214,-0.617,4,3,0.854
196,0.521,1.619,0.122,2,3,0.751
197,0.313,0.304,-0.338,4,3,0.779
198,-0.885,0.13,-2.2,4,1,0.956
199,-0.468,-0.387,0.095,0,2,0.266
200,0.835,-0.876,-1.128,0,0,0.268
201,1.216,-0.177,2.136,3,0,0.889
202,0.37,0.429,-0.363,5,1,0.772
203,0.546,-0.017,-0.208,3,1,0.927
204,-0.852,0.08,1.0,0,3,0.063
205,-1.711,-0.395,-0.162,5,3,0.628
206,-0.233,-0.925,-0.381,0,2,0.145
207,-0.567,0.126,-0.616,0,3,0.504
208,-0.474,-0.203,-1.321,2,2,0.156
209,0.217,-0.514,0.409,4,3,0.128
210,0.434,0.305,-0.17,3,3,0.012
211,0.142,0.516,0.453,3,0,0.63
212,-0.835,0.83,-0.066,1,1,0.359
213,0.193,0.828,-1.376,2,2,0.105
214,0.078,0.875,-0.283,0,0,0.323
215,0.463,0.293,-0.028,0,3,0.169
216,-0.645,0.362,-0.269,2,0,0.942
217,0.649,1.449,0.524,5,2,0.32
218,-0.508,0.697,-0.559,3,1,0.334
219,0.576,-1.056,0.167,0,0,0.84
220,-0.209,-1.279,-1.012,1,2,0.648
221,-0.794,0.018,-0.443,3,3,0.71
222,0.242,0.711,0.286,4,0,0.636
223,-0.994,0.627,-0.915,2,1,0.946
224,-0.956,-0.923,-0.85,3,2,0.207
225,-1.144,0.795,-0.781,4,1,0.989
226,-1.744,0.767,-0.915,1,3,0.831
227,0.244,0.698,1.312,5,1,0.589
228,0.475,0.475,0.593,2,3,0.662
229,-0.818,0.036,-0.889,5,3,0.649
230,-0.481,-1.178,-0.083,0,0,0.058
231,-1.073,0.524,-1.126,5,3,0.218
232,-1.744,0.087,-0.979,0,1,0.961
233,0.885,-0.191,-0.95,4,0,0.534
234,-1.202,1.929,0.465,3,3,0.378
235,-0.92,-1.587,0.203,1,2,0.762
236,0.222,-0.565,0.56,4,2,0.525
237,-0.307,-0.54,-0.258,1,3,0.013
238,0.077,0.519,0.042,5,0,0.736
239,0.382,-1.664,-0.374,1,0,0.732
240,-0.468,1.227,0.079,5,0,0.165
241,-0.927,1.543,-0.729,1,1,0.957
242,-0.13,0.109,0.15,2,2,0.224
243,0.146,-0.353,-0.986,4,3,0.458
244,-0.904,1.588,0.893,2,3,0.115
245,-1.008,0.34,-0.73,3,2,0.603
246,0.006,0.832,-2.266,3,1,0.375
247,-1.009,0.044,1.246,0,0,0.353
248,0.103,-0.25,0.108,0,2,0.827
249,1.143,1.877,1.897,0,3,0.01
250,0.252,0.366,0.452,3,1,0.798
251,1.026,0.072,-0.343,1,3,0.571
252,-0.903,0.365,0.099,5,0,0.986
253,0.04,0.043,-0.076,1,2,0.589
254,0.524,0.516,-0.361,4,0,0.055
255,-1.854,1.158,1.198,3,1,0.051
256,-0.946,-0.659,-0.424,5,2,0.883
257,-0.676,-0.304,0.246,5,0,0.841
258,2.012,0.114,-0.084,5,0,0.346
